"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"SCL"|"No "|"No "|"Sandy clay loam"|"7942878"|"15301780"
"L"|"No "|"No "|"Loam"|"7942878"|"15598122"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7942879"|"15153609"
"SIL"|"No "|"No "|"Silt loam"|"7942879"|"15449952"
"L"|"No "|"No "|"Loam"|"7942879"|"15598123"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7942880"|"15301781"
"L"|"No "|"No "|"Loam"|"7942880"|"15449953"
"CL"|"No "|"No "|"Clay loam"|"7942880"|"15598124"
"L"|"No "|"Yes"|"Loam"|"7942881"|"15153610"
"SIL"|"No "|"Yes"|"Silt loam"|"7942882"|"15301782"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7942883"|"15449954"
"SICL"|"No "|"No "|"Silty clay loam"|"7942884"|"15153611"
"CN-SICL"|"No "|"No "|"Channery silty clay loam"|"7942884"|"15301783"
"CL"|"No "|"No "|"Clay loam"|"7942884"|"15598125"
"L"|"No "|"No "|"Loam"|"7942885"|"15153612"
"CL"|"No "|"No "|"Clay loam"|"7942885"|"15449955"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7942885"|"15598126"
"GR-L"|"No "|"No "|"Gravelly loam"|"7942886"|"15301784"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7942886"|"15449956"
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|"7942887"|"15598127"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"7942888"|"15153613"
"CN-L"|"No "|"No "|"Channery loam"|"7942889"|"15301785"
"CN-SIL"|"No "|"No "|"Channery silt loam"|"7942889"|"15449957"
"FLV-SL"|"No "|"No "|"Very flaggy sandy loam"|"7942890"|"15153614"
"FL-CL"|"No "|"No "|"Flaggy clay loam"|"7942890"|"15301786"
"FLV-L"|"No "|"No "|"Very flaggy loam"|"7942890"|"15598128"
"SIL"|"No "|"No "|"Silt loam"|"7942891"|"15153615"
"L"|"No "|"No "|"Loam"|"7942891"|"15449958"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7942891"|"15598129"
"CNX-CL"|"No "|"No "|"Extremely channery clay loam"|"7942892"|"15301787"
"CNV-CL"|"No "|"No "|"Very channery clay loam"|"7942892"|"15449959"
"FLX-CL"|"No "|"No "|"Extremely flaggy clay loam"|"7942892"|"15598130"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942893"|"15153616"
"C"|"No "|"Yes"|"Clay"|"7942894"|"15301788"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7942895"|"15449960"
"GRV-LS"|"No "|"No "|"Very gravelly loamy sand"|"7942895"|"15598131"
"GRV-LS"|"No "|"Yes"|"Very gravelly loamy sand"|"7942896"|"15153617"
"SIL"|"No "|"Yes"|"Silt loam"|"7942897"|"15301789"
"SIL"|"No "|"Yes"|"Silt loam"|"7942898"|"15449961"
"SIL"|"No "|"Yes"|"Silt loam"|"7942899"|"15598132"
"SICL"|"No "|"No "|"Silty clay loam"|"7942900"|"15153618"
"L"|"No "|"No "|"Loam"|"7942900"|"15301790"
"CL"|"No "|"No "|"Clay loam"|"7942900"|"15449962"
"SICL"|"No "|"No "|"Silty clay loam"|"7942901"|"15153619"
"SIC"|"No "|"No "|"Silty clay"|"7942901"|"15598133"
"L"|"No "|"No "|"Loam"|"7942902"|"15301791"
"SIL"|"No "|"No "|"Silt loam"|"7942902"|"15449963"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7942902"|"15598134"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7942903"|"15153620"
"SIL"|"No "|"No "|"Silt loam"|"7942904"|"15301792"
"L"|"No "|"No "|"Loam"|"7942904"|"15449964"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942905"|"15598135"
"C"|"No "|"Yes"|"Clay"|"7942906"|"15153621"
"C"|"No "|"Yes"|"Clay"|"7942907"|"15301793"
"SR- SICL C"|"Yes"|"Yes"|"Stratified silty clay loam to clay"|"7942908"|"15449965"
"SR- VFSL C"|"Yes"|"Yes"|"Stratified very fine sandy loam to clay"|"7942909"|"15598136"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7942910"|"15153622"
"SIL"|"No "|"Yes"|"Silt loam"|"7942911"|"15301794"
"C"|"No "|"Yes"|"Clay"|"7942912"|"15449966"
"C"|"No "|"No "|"Clay"|"7942913"|"15153623"
"SICL"|"No "|"No "|"Silty clay loam"|"7942913"|"15301795"
"SIC"|"No "|"No "|"Silty clay"|"7942913"|"15598137"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942914"|"15449967"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942915"|"15598138"
"SIL"|"No "|"Yes"|"Silt loam"|"7942916"|"15153624"
"C"|"No "|"Yes"|"Clay"|"7942917"|"15301796"
"L"|"No "|"No "|"Loam"|"7942918"|"15153625"
"SICL"|"No "|"No "|"Silty clay loam"|"7942918"|"15449968"
"SIL"|"No "|"No "|"Silt loam"|"7942918"|"15598139"
"GRV-LS"|"No "|"Yes"|"Very gravelly loamy sand"|"7942919"|"15301797"
"L"|"No "|"Yes"|"Loam"|"7942920"|"15449969"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942921"|"15598140"
"CL"|"No "|"Yes"|"Clay loam"|"7942922"|"15153626"
"L"|"No "|"Yes"|"Loam"|"7942923"|"15301798"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942924"|"15449970"
"SIL"|"No "|"Yes"|"Silt loam"|"7942925"|"15598141"
"SIC"|"No "|"No "|"Silty clay"|"7942926"|"15153627"
"C"|"No "|"No "|"Clay"|"7942926"|"15301799"
"SICL"|"No "|"No "|"Silty clay loam"|"7942927"|"15153628"
"SIL"|"No "|"No "|"Silt loam"|"7942927"|"15449971"
"L"|"No "|"No "|"Loam"|"7942927"|"15598142"
"SICL"|"No "|"No "|"Silty clay loam"|"7942928"|"15301800"
"SIL"|"No "|"No "|"Silt loam"|"7942928"|"15449972"
"SIC"|"No "|"No "|"Silty clay"|"7942928"|"15598143"
"SIC"|"No "|"No "|"Silty clay"|"7942929"|"15153629"
"SICL"|"No "|"No "|"Silty clay loam"|"7942929"|"15301801"
"C"|"No "|"No "|"Clay"|"7942929"|"15449973"
"L"|"No "|"No "|"Loam"|"7942930"|"15153630"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7942930"|"15301802"
"CL"|"No "|"No "|"Clay loam"|"7942930"|"15598144"
"SIC"|"No "|"No "|"Silty clay"|"7942931"|"15153631"
"CL"|"No "|"No "|"Clay loam"|"7942931"|"15449974"
"SICL"|"No "|"No "|"Silty clay loam"|"7942931"|"15598145"
"SIL"|"No "|"No "|"Silt loam"|"7942932"|"15301803"
