"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"L"|"No "|"No "|"Loam"|"7942932"|"15449975"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7942932"|"15598146"
"L"|"No "|"Yes"|"Loam"|"7942933"|"15153632"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7942934"|"15301804"
"L"|"No "|"No "|"Loam"|"7942934"|"15449976"
"GR-L"|"No "|"No "|"Gravelly loam"|"7942934"|"15598147"
"SICL"|"No "|"No "|"Silty clay loam"|"7942935"|"15153633"
"SIL"|"No "|"No "|"Silt loam"|"7942935"|"15301805"
"LS"|"No "|"No "|"Loamy sand"|"7942936"|"15449977"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942936"|"15598148"
"L"|"No "|"No "|"Loam"|"7942937"|"15153634"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942937"|"15301806"
"SIL"|"No "|"No "|"Silt loam"|"7942937"|"15449978"
"LS"|"No "|"No "|"Loamy sand"|"7942938"|"15153635"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942938"|"15301807"
"SL"|"No "|"No "|"Sandy loam"|"7942938"|"15598149"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942939"|"15449979"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942940"|"15598150"
"LS"|"No "|"No "|"Loamy sand"|"7942941"|"15153636"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942941"|"15301808"
"FS"|"No "|"No "|"Fine sand"|"7942941"|"15449980"
"C"|"No "|"Yes"|"Clay"|"7942942"|"15598151"
"FS"|"No "|"No "|"Fine sand"|"7942943"|"15153637"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942943"|"15301809"
"LS"|"No "|"No "|"Loamy sand"|"7942943"|"15449981"
"SL"|"No "|"No "|"Sandy loam"|"7942944"|"15153638"
"GR-COSL"|"No "|"No "|"Gravelly coarse sandy loam"|"7942944"|"15301810"
"COSL"|"No "|"No "|"Coarse sandy loam"|"7942944"|"15598152"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942945"|"15449982"
"L"|"No "|"No "|"Loam"|"7942946"|"15153639"
"CL"|"No "|"No "|"Clay loam"|"7942946"|"15598153"
"SICL"|"No "|"No "|"Silty clay loam"|"7942947"|"15301811"
"SIL"|"No "|"No "|"Silt loam"|"7942947"|"15449983"
"FS"|"No "|"Yes"|"Fine sand"|"7942948"|"15598154"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942949"|"15153640"
"L"|"No "|"No "|"Loam"|"7942949"|"15301812"
"FS"|"No "|"No "|"Fine sand"|"7942950"|"15153641"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942950"|"15449984"
"LS"|"No "|"No "|"Loamy sand"|"7942950"|"15598155"
"LS"|"No "|"No "|"Loamy sand"|"7942951"|"15301813"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942951"|"15449985"
"FS"|"No "|"No "|"Fine sand"|"7942951"|"15598156"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942952"|"15153642"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942953"|"15301814"
"L"|"No "|"No "|"Loam"|"7942953"|"15449986"
"LVFS"|"No "|"No "|"Loamy very fine sand"|"7942954"|"15153643"
"SL"|"No "|"No "|"Sandy loam"|"7942954"|"15301815"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942954"|"15598157"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942955"|"15449987"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942956"|"15598158"
"L"|"No "|"No "|"Loam"|"7942957"|"15153644"
"SIL"|"No "|"No "|"Silt loam"|"7942957"|"15301816"
"SICL"|"No "|"No "|"Silty clay loam"|"7942957"|"15449988"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942958"|"15153645"
"LS"|"No "|"No "|"Loamy sand"|"7942958"|"15598159"
"L"|"No "|"Yes"|"Loam"|"7942959"|"15301817"
"L"|"No "|"Yes"|"Loam"|"7942960"|"15449989"
"C"|"No "|"Yes"|"Clay"|"7942961"|"15598160"
"SIC"|"No "|"Yes"|"Silty clay"|"7942962"|"15153646"
"C"|"No "|"No "|"Clay"|"7942963"|"15301818"
"CN-C"|"No "|"No "|"Channery clay"|"7942963"|"15449990"
"L"|"No "|"Yes"|"Loam"|"7942964"|"15598161"
"C"|"No "|"No "|"Clay"|"7942965"|"15153647"
"CN-C"|"No "|"No "|"Channery clay"|"7942965"|"15301819"
"CNV-C"|"No "|"No "|"Very channery clay"|"7942966"|"15153648"
"C"|"No "|"No "|"Clay"|"7942966"|"15449991"
"CN-C"|"No "|"No "|"Channery clay"|"7942966"|"15598162"
"CN-SIC"|"No "|"No "|"Channery silty clay"|"7942967"|"15301820"
"CN-C"|"No "|"No "|"Channery clay"|"7942967"|"15449992"
"SIC"|"No "|"No "|"Silty clay"|"7942967"|"15598163"
"C"|"No "|"Yes"|"Clay"|"7942968"|"15153649"
"CN-SIC"|"No "|"No "|"Channery silty clay"|"7942969"|"15301821"
"CN-C"|"No "|"No "|"Channery clay"|"7942969"|"15449993"
"SIC"|"No "|"No "|"Silty clay"|"7942969"|"15598164"
"GR-L"|"No "|"No "|"Gravelly loam"|"7942970"|"15153650"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7942970"|"15301822"
"CNV-C"|"No "|"No "|"Very channery clay"|"7942971"|"15153651"
"C"|"No "|"No "|"Clay"|"7942971"|"15449994"
"CN-C"|"No "|"No "|"Channery clay"|"7942971"|"15598165"
"C"|"No "|"No "|"Clay"|"7942972"|"15301823"
"CN-C"|"No "|"No "|"Channery clay"|"7942972"|"15449995"
"CNV-C"|"No "|"No "|"Very channery clay"|"7942972"|"15598166"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942973"|"15153652"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942974"|"15301824"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942975"|"15449996"
"FS"|"No "|"No "|"Fine sand"|"7942975"|"15598167"
"L"|"No "|"Yes"|"Loam"|"7942976"|"15153653"
"C"|"No "|"No "|"Clay"|"7942977"|"15301825"
"SIC"|"No "|"No "|"Silty clay"|"7942977"|"15449997"
"CN-C"|"No "|"No "|"Channery clay"|"7942977"|"15598168"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942978"|"15153654"
"SIL"|"No "|"Yes"|"Silt loam"|"7942979"|"15301826"
"C"|"No "|"Yes"|"Clay"|"7942980"|"15449998"
"CN-C"|"No "|"No "|"Channery clay"|"7942981"|"15153655"
"SIC"|"No "|"No "|"Silty clay"|"7942981"|"15301827"
"CN-SIC"|"No "|"No "|"Channery silty clay"|"7942981"|"15598169"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942982"|"15449999"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942983"|"15598170"
"CL"|"No "|"No "|"Clay loam"|"7942984"|"15153656"
"SCL"|"No "|"No "|"Sandy clay loam"|"7942984"|"15301828"
"SICL"|"No "|"No "|"Silty clay loam"|"7942984"|"15450000"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942985"|"15598171"
"L"|"No "|"Yes"|"Loam"|"7942986"|"15153657"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7942987"|"15301829"
"L"|"No "|"No "|"Loam"|"7942988"|"15450001"
"CL"|"No "|"No "|"Clay loam"|"7942988"|"15598172"
"L"|"No "|"No "|"Loam"|"7942989"|"15153658"
"SIL"|"No "|"No "|"Silt loam"|"7942989"|"15301830"
"CL"|"No "|"No "|"Clay loam"|"7942989"|"15450002"
"L"|"No "|"No "|"Loam"|"7942990"|"15153659"
"SICL"|"No "|"No "|"Silty clay loam"|"7942990"|"15301831"
"SIL"|"No "|"No "|"Silt loam"|"7942990"|"15598173"
"SICL"|"No "|"No "|"Silty clay loam"|"7942991"|"15450003"
"SIL"|"No "|"No "|"Silt loam"|"7942991"|"15598174"
"SIL"|"No "|"No "|"Silt loam"|"7942992"|"15153660"
"SICL"|"No "|"No "|"Silty clay loam"|"7942992"|"15301832"
"SIL"|"No "|"Yes"|"Silt loam"|"7942993"|"15450004"
"SIL"|"No "|"No "|"Silt loam"|"7942994"|"15153661"
"SICL"|"No "|"No "|"Silty clay loam"|"7942994"|"15598175"
"SIC"|"No "|"No "|"Silty clay"|"7942995"|"15301833"
"SICL"|"No "|"No "|"Silty clay loam"|"7942995"|"15450005"
"C"|"No "|"No "|"Clay"|"7942996"|"15153662"
"CL"|"No "|"No "|"Clay loam"|"7942996"|"15301834"
"SIC"|"No "|"No "|"Silty clay"|"7942996"|"15598176"
"SIC"|"No "|"No "|"Silty clay"|"7942997"|"15153663"
"SICL"|"No "|"No "|"Silty clay loam"|"7942997"|"15450006"
"CL"|"No "|"No "|"Clay loam"|"7942997"|"15598177"
"CL"|"No "|"No "|"Clay loam"|"7942998"|"15301835"
"C"|"No "|"No "|"Clay"|"7942998"|"15450007"
"CL"|"No "|"No "|"Clay loam"|"7942999"|"15153664"
"L"|"No "|"No "|"Loam"|"7942999"|"15598178"
"SIL"|"No "|"Yes"|"Silt loam"|"7943000"|"15301836"
"SIL"|"No "|"Yes"|"Silt loam"|"7943001"|"15450008"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943002"|"15598179"
"SIC"|"No "|"No "|"Silty clay"|"7943003"|"15153665"
"C"|"No "|"No "|"Clay"|"7943003"|"15301837"
"CL"|"No "|"No "|"Clay loam"|"7943003"|"15450009"
"CL"|"No "|"No "|"Clay loam"|"7943004"|"15153666"
"SIC"|"No "|"No "|"Silty clay"|"7943004"|"15301838"
"SICL"|"No "|"No "|"Silty clay loam"|"7943004"|"15598180"
"SIL"|"No "|"No "|"Silt loam"|"7943005"|"15153667"
"SICL"|"No "|"No "|"Silty clay loam"|"7943005"|"15450010"
"CL"|"No "|"No "|"Clay loam"|"7943005"|"15598181"
"L"|"No "|"No "|"Loam"|"7943006"|"15301839"
"CL"|"No "|"No "|"Clay loam"|"7943006"|"15450011"
"SIL"|"No "|"Yes"|"Silt loam"|"7943007"|"15598182"
"SIL"|"No "|"Yes"|"Silt loam"|"7943008"|"15153668"
"L"|"No "|"No "|"Loam"|"7943009"|"15301840"
"CL"|"No "|"No "|"Clay loam"|"7943009"|"15450012"
"C"|"No "|"No "|"Clay"|"7943010"|"15153669"
"CL"|"No "|"No "|"Clay loam"|"7943010"|"15301841"
"SIC"|"No "|"No "|"Silty clay"|"7943010"|"15598183"
"CL"|"No "|"No "|"Clay loam"|"7943011"|"15153670"
"C"|"No "|"No "|"Clay"|"7943011"|"15450013"
"SIC"|"No "|"No "|"Silty clay"|"7943011"|"15598184"
"L"|"No "|"Yes"|"Loam"|"7943012"|"15301842"
"SR- LFS SIL"|"Yes"|"Yes"|"Stratified loamy fine sand to silt loam"|"7943013"|"15450014"
"SIC"|"No "|"No "|"Silty clay"|"7943014"|"15153671"
"SICL"|"No "|"No "|"Silty clay loam"|"7943014"|"15598185"
"SICL"|"No "|"No "|"Silty clay loam"|"7943015"|"15301843"
"SIC"|"No "|"No "|"Silty clay"|"7943015"|"15450015"
"CL"|"No "|"No "|"Clay loam"|"7943015"|"15598186"
"SR- S SIL"|"Yes"|"Yes"|"Stratified sand to silt loam"|"7943016"|"15153672"
"SIL"|"No "|"Yes"|"Silt loam"|"7943017"|"15301844"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7943018"|"15450016"
"L"|"No "|"Yes"|"Loam"|"7943019"|"15598187"
"L"|"No "|"Yes"|"Loam"|"7943020"|"15153673"
"L"|"No "|"No "|"Loam"|"7943021"|"15301845"
"CL"|"No "|"No "|"Clay loam"|"7943021"|"15450017"
"ST-CL"|"No "|"No "|"Stony clay loam"|"7943021"|"15598188"
"L"|"No "|"No "|"Loam"|"7943022"|"15153674"
"CL"|"No "|"No "|"Clay loam"|"7943022"|"15301846"
"SIL"|"No "|"No "|"Silt loam"|"7943022"|"15450018"
"L"|"No "|"Yes"|"Loam"|"7943023"|"15598189"
"CL"|"No "|"No "|"Clay loam"|"7943024"|"15153675"
"SICL"|"No "|"No "|"Silty clay loam"|"7943024"|"15301847"
"L"|"No "|"No "|"Loam"|"7943025"|"15450019"
"CL"|"No "|"No "|"Clay loam"|"7943025"|"15598190"
"SIC"|"No "|"No "|"Silty clay"|"7943026"|"15153676"
"C"|"No "|"No "|"Clay"|"7943026"|"15301848"
"L"|"No "|"No "|"Loam"|"7943027"|"15450020"
"CL"|"No "|"No "|"Clay loam"|"7943027"|"15598191"
"L"|"No "|"No "|"Loam"|"7943028"|"15153677"
"CL"|"No "|"No "|"Clay loam"|"7943028"|"15301849"
"SIL"|"No "|"No "|"Silt loam"|"7943028"|"15450021"
"CL"|"No "|"No "|"Clay loam"|"7943029"|"15153678"
"L"|"No "|"No "|"Loam"|"7943029"|"15598192"
"L"|"No "|"No "|"Loam"|"7943030"|"15301850"
"CL"|"No "|"No "|"Clay loam"|"7943030"|"15450022"
"CL"|"No "|"No "|"Clay loam"|"7943031"|"15153679"
"L"|"No "|"No "|"Loam"|"7943031"|"15598193"
"SR- SL CL"|"Yes"|"Yes"|"Stratified sandy loam to clay loam"|"7943032"|"15301851"
"CL"|"No "|"No "|"Clay loam"|"7943033"|"15450023"
"L"|"No "|"No "|"Loam"|"7943033"|"15598194"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943034"|"15153680"
"L"|"No "|"No "|"Loam"|"7943035"|"15301852"
"SIL"|"No "|"No "|"Silt loam"|"7943035"|"15450024"
"SIL"|"No "|"No "|"Silt loam"|"7943036"|"15153681"
"SICL"|"No "|"No "|"Silty clay loam"|"7943036"|"15598195"
"L"|"No "|"No "|"Loam"|"7943037"|"15301853"
"SL"|"No "|"No "|"Sandy loam"|"7943037"|"15450025"
"FSL"|"No "|"No "|"Fine sandy loam"|"7943037"|"15598196"
"L"|"No "|"No "|"Loam"|"7943038"|"15153682"
"CL"|"No "|"No "|"Clay loam"|"7943038"|"15301854"
"CL"|"No "|"No "|"Clay loam"|"7943039"|"15153683"
"C"|"No "|"No "|"Clay"|"7943039"|"15450026"
"SIC"|"No "|"No "|"Silty clay"|"7943039"|"15598197"
"SIL"|"No "|"No "|"Silt loam"|"7943040"|"15301855"
"L"|"No "|"No "|"Loam"|"7943040"|"15450027"
"SICL"|"No "|"No "|"Silty clay loam"|"7943040"|"15598198"
"LS"|"No "|"Yes"|"Loamy sand"|"7943041"|"15153684"
"SR- FSL SICL"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay loam"|"7943042"|"15301856"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943043"|"15450028"
"SR- FS SICL"|"Yes"|"Yes"|"Stratified fine sand to silty clay loam"|"7943044"|"15598199"
"SIC"|"No "|"Yes"|"Silty clay"|"7943045"|"15153685"
"L"|"No "|"No "|"Loam"|"7943046"|"15301857"
"CL"|"No "|"No "|"Clay loam"|"7943046"|"15450029"
"SIC"|"No "|"No "|"Silty clay"|"7943047"|"15153686"
"SICL"|"No "|"No "|"Silty clay loam"|"7943047"|"15598200"
"L"|"No "|"Yes"|"Loam"|"7943048"|"15301858"
"L"|"No "|"Yes"|"Loam"|"7943049"|"15450030"
"CL"|"No "|"Yes"|"Clay loam"|"7943050"|"15598201"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943051"|"15153687"
"CL"|"No "|"No "|"Clay loam"|"7943052"|"15301859"
"L"|"No "|"No "|"Loam"|"7943052"|"15450031"
"L"|"No "|"No "|"Loam"|"7943053"|"15153688"
"CL"|"No "|"No "|"Clay loam"|"7943053"|"15598202"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943054"|"15301860"
"CL"|"No "|"No "|"Clay loam"|"7943055"|"15450032"
"L"|"No "|"No "|"Loam"|"7943055"|"15598203"
"SIC"|"No "|"Yes"|"Silty clay"|"7943056"|"15153689"
"SIC"|"No "|"No "|"Silty clay"|"7943057"|"15301861"
"C"|"No "|"No "|"Clay"|"7943057"|"15450033"
"SICL"|"No "|"No "|"Silty clay loam"|"7943057"|"15598204"
"SIC"|"No "|"No "|"Silty clay"|"7943058"|"15153690"
"SICL"|"No "|"No "|"Silty clay loam"|"7943058"|"15301862"
"FSL"|"No "|"No "|"Fine sandy loam"|"7943059"|"15450034"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7943059"|"15598205"
"SR- SIL SICL"|"Yes"|"Yes"|"Stratified silt loam to silty clay loam"|"7943060"|"15153691"
"SICL"|"No "|"No "|"Silty clay loam"|"7943061"|"15301863"
"SIL"|"No "|"No "|"Silt loam"|"7943061"|"15450035"
"SICL"|"No "|"No "|"Silty clay loam"|"7943062"|"15153692"
"SIL"|"No "|"No "|"Silt loam"|"7943062"|"15598206"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943063"|"15301864"
"CL"|"No "|"No "|"Clay loam"|"7943064"|"15450036"
"L"|"No "|"No "|"Loam"|"7943064"|"15598207"
"SIC"|"No "|"No "|"Silty clay"|"7943065"|"15153693"
"SICL"|"No "|"No "|"Silty clay loam"|"7943065"|"15301865"
"CL"|"No "|"No "|"Clay loam"|"7943065"|"15450037"
"L"|"No "|"Yes"|"Loam"|"7943066"|"15598208"
"FSL"|"No "|"No "|"Fine sandy loam"|"7943067"|"15153694"
"SL"|"No "|"No "|"Sandy loam"|"7943067"|"15301866"
"L"|"No "|"No "|"Loam"|"7943067"|"15450038"
"FSL"|"No "|"No "|"Fine sandy loam"|"7943068"|"15153695"
"SL"|"No "|"No "|"Sandy loam"|"7943068"|"15301867"
"L"|"No "|"No "|"Loam"|"7943068"|"15598209"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7943069"|"15153696"
"GR-S"|"No "|"No "|"Gravelly sand"|"7943069"|"15450039"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7943069"|"15598210"
"GR-S"|"No "|"No "|"Gravelly sand"|"7943070"|"15301868"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7943070"|"15450040"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7943070"|"15598211"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943071"|"15153697"
"SICL"|"No "|"No "|"Silty clay loam"|"7943072"|"15301869"
"SIL"|"No "|"No "|"Silt loam"|"7943072"|"15450041"
"SIL"|"No "|"Yes"|"Silt loam"|"7943073"|"15598212"
"SICL"|"No "|"No "|"Silty clay loam"|"7943074"|"15153698"
"SIL"|"No "|"No "|"Silt loam"|"7943074"|"15301870"
"SIL"|"No "|"No "|"Silt loam"|"7943075"|"15153699"
"SICL"|"No "|"No "|"Silty clay loam"|"7943075"|"15450042"
"CL"|"No "|"No "|"Clay loam"|"7943075"|"15598213"
"LS"|"No "|"No "|"Loamy sand"|"7943076"|"15301871"
"LFS"|"No "|"No "|"Loamy fine sand"|"7943076"|"15450043"
"FS"|"No "|"No "|"Fine sand"|"7943076"|"15598214"
"SIL"|"No "|"Yes"|"Silt loam"|"7943077"|"15153700"
"SICL"|"No "|"No "|"Silty clay loam"|"7943078"|"15301872"
"SIC"|"No "|"No "|"Silty clay"|"7943078"|"15450044"
"C"|"No "|"No "|"Clay"|"7943078"|"15598215"
"SIL"|"No "|"Yes"|"Silt loam"|"7943079"|"15153701"
"SICL"|"No "|"No "|"Silty clay loam"|"7943080"|"15301873"
"SIC"|"No "|"No "|"Silty clay"|"7943080"|"15450045"
"C"|"No "|"No "|"Clay"|"7943081"|"15153702"
"SIC"|"No "|"No "|"Silty clay"|"7943081"|"15598216"
"SIL"|"No "|"No "|"Silt loam"|"7943082"|"15301874"
"L"|"No "|"No "|"Loam"|"7943082"|"15450046"
"CL"|"No "|"No "|"Clay loam"|"7943082"|"15598217"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943083"|"15153703"
"SIL"|"No "|"Yes"|"Silt loam"|"7943084"|"15301875"
"SIL"|"No "|"No "|"Silt loam"|"7943085"|"15450047"
"L"|"No "|"No "|"Loam"|"7943085"|"15598218"
"L"|"No "|"No "|"Loam"|"7943086"|"15153704"
"CL"|"No "|"No "|"Clay loam"|"7943086"|"15301876"
"SL"|"No "|"No "|"Sandy loam"|"7943086"|"15450048"
"SL"|"No "|"No "|"Sandy loam"|"7943087"|"15153705"
"L"|"No "|"No "|"Loam"|"7943087"|"15301877"
"FSL"|"No "|"No "|"Fine sandy loam"|"7943087"|"15598219"
"CL"|"No "|"No "|"Clay loam"|"7943088"|"15153706"
"L"|"No "|"No "|"Loam"|"7943088"|"15450049"
"SIL"|"No "|"No "|"Silt loam"|"7943088"|"15598220"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943089"|"15301878"
"SIL"|"No "|"No "|"Silt loam"|"7943090"|"15450050"
"L"|"No "|"No "|"Loam"|"7943090"|"15598221"
"CL"|"No "|"No "|"Clay loam"|"7943091"|"15153707"
"L"|"No "|"No "|"Loam"|"7943091"|"15301879"
"SR- SIL CL"|"Yes"|"Yes"|"Stratified silt loam to clay loam"|"7943092"|"15450051"
"L"|"No "|"Yes"|"Loam"|"7943093"|"15598222"
"L"|"No "|"No "|"Loam"|"7943094"|"15153708"
"CL"|"No "|"No "|"Clay loam"|"7943094"|"15301880"
"SIC"|"No "|"No "|"Silty clay"|"7943095"|"15450052"
"C"|"No "|"No "|"Clay"|"7943095"|"15598223"
"CL"|"No "|"No "|"Clay loam"|"7943096"|"15153709"
"SICL"|"No "|"No "|"Silty clay loam"|"7943096"|"15301881"
"C"|"No "|"No "|"Clay"|"7943096"|"15450053"
"SIC"|"No "|"No "|"Silty clay"|"7943097"|"15153710"
"CL"|"No "|"No "|"Clay loam"|"7943097"|"15301882"
"C"|"No "|"No "|"Clay"|"7943097"|"15598224"
"CL"|"No "|"No "|"Clay loam"|"7943098"|"15153711"
"SIC"|"No "|"No "|"Silty clay"|"7943098"|"15450054"
"C"|"No "|"No "|"Clay"|"7943098"|"15598225"
"SIC"|"No "|"No "|"Silty clay"|"7943099"|"15301883"
"C"|"No "|"No "|"Clay"|"7943099"|"15450055"
"CL"|"No "|"No "|"Clay loam"|"7943099"|"15598226"
"CL"|"No "|"No "|"Clay loam"|"7943100"|"15153712"
"L"|"No "|"No "|"Loam"|"7943100"|"15301884"
"CL"|"No "|"No "|"Clay loam"|"7943101"|"15450056"
"C"|"No "|"No "|"Clay"|"7943101"|"15598227"
"SIL"|"No "|"Yes"|"Silt loam"|"7943102"|"15153713"
"L"|"No "|"No "|"Loam"|"7943103"|"15301885"
"CL"|"No "|"No "|"Clay loam"|"7943103"|"15450057"
"CL"|"No "|"No "|"Clay loam"|"7943104"|"15153714"
"L"|"No "|"No "|"Loam"|"7943104"|"15598228"
"SIL"|"No "|"No "|"Silt loam"|"7943105"|"15301886"
"SICL"|"No "|"No "|"Silty clay loam"|"7943105"|"15450058"
"SIC"|"No "|"No "|"Silty clay"|"7943106"|"15153715"
"CL"|"No "|"No "|"Clay loam"|"7943106"|"15301887"
"C"|"No "|"No "|"Clay"|"7943106"|"15598229"
"SIL"|"No "|"No "|"Silt loam"|"7943107"|"15153716"
"L"|"No "|"No "|"Loam"|"7943107"|"15450059"
"CL"|"No "|"No "|"Clay loam"|"7943107"|"15598230"
"SICL"|"No "|"No "|"Silty clay loam"|"7943108"|"15301888"
"SIC"|"No "|"No "|"Silty clay"|"7943108"|"15450060"
"LS"|"No "|"No "|"Loamy sand"|"7943109"|"15153717"
"LFS"|"No "|"No "|"Loamy fine sand"|"7943109"|"15598231"
"L"|"No "|"No "|"Loam"|"7943110"|"15301889"
"CL"|"No "|"No "|"Clay loam"|"7943110"|"15450061"
"SIL"|"No "|"No "|"Silt loam"|"7943110"|"15598232"
"SR- FS SCL"|"Yes"|"Yes"|"Stratified fine sand to sandy clay loam"|"7943111"|"15153718"
"LFS"|"No "|"No "|"Loamy fine sand"|"7943112"|"15301890"
"FS"|"No "|"No "|"Fine sand"|"7943112"|"15450062"
"GR-S"|"No "|"No "|"Gravelly sand"|"7943112"|"15598233"
"SR- LS CL"|"Yes"|"Yes"|"Stratified loamy sand to clay loam"|"7943113"|"15153719"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7943114"|"15301891"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7943115"|"15450063"
"SIL"|"No "|"Yes"|"Silt loam"|"7943116"|"15598234"
"LS"|"No "|"No "|"Loamy sand"|"7943117"|"15153720"
"LFS"|"No "|"No "|"Loamy fine sand"|"7943117"|"15301892"
"FS"|"No "|"No "|"Fine sand"|"7943117"|"15450064"
"LS"|"No "|"No "|"Loamy sand"|"7943118"|"15153721"
"LFS"|"No "|"No "|"Loamy fine sand"|"7943118"|"15598235"
"SR- GR-S CL"|"Yes"|"Yes"|"Stratified gravelly sand to clay loam"|"7943119"|"15301893"
"SIL"|"No "|"Yes"|"Silt loam"|"7943120"|"15450065"
"L"|"No "|"No "|"Loam"|"7943121"|"15153722"
"CL"|"No "|"No "|"Clay loam"|"7943121"|"15598236"
"L"|"No "|"No "|"Loam"|"7943122"|"15301894"
"CL"|"No "|"No "|"Clay loam"|"7943122"|"15450066"
"LS"|"No "|"No "|"Loamy sand"|"7943123"|"15153723"
"S"|"No "|"No "|"Sand"|"7943123"|"15301895"
"SG"|"No "|"No "|"Sand and gravel"|"7943123"|"15598237"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943124"|"15450067"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7943125"|"15153724"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7943125"|"15301896"
"GR-S"|"No "|"No "|"Gravelly sand"|"7943125"|"15598238"
"SL"|"No "|"Yes"|"Sandy loam"|"7943126"|"15450068"
"SCL"|"No "|"No "|"Sandy clay loam"|"7943127"|"15153725"
"GR-L"|"No "|"No "|"Gravelly loam"|"7943127"|"15301897"
"L"|"No "|"No "|"Loam"|"7943127"|"15598239"
"SR- GR-S CL"|"Yes"|"Yes"|"Stratified gravelly sand to clay loam"|"7943128"|"15450069"
"GR-S"|"No "|"No "|"Gravelly sand"|"7943129"|"15153726"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7943129"|"15301898"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7943129"|"15598240"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943130"|"15450070"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7943131"|"15598241"
"L"|"No "|"Yes"|"Loam"|"7943132"|"15153727"
"SIL"|"No "|"No "|"Silt loam"|"7943133"|"15301899"
"SICL"|"No "|"No "|"Silty clay loam"|"7943133"|"15450071"
"CL"|"No "|"No "|"Clay loam"|"7943133"|"15598242"
"SIC"|"No "|"No "|"Silty clay"|"7943134"|"15153728"
"C"|"No "|"No "|"Clay"|"7943134"|"15301900"
"SICL"|"No "|"No "|"Silty clay loam"|"7943134"|"15450072"
"SIL"|"No "|"No "|"Silt loam"|"7943135"|"15153729"
"CL"|"No "|"No "|"Clay loam"|"7943135"|"15301901"
"SICL"|"No "|"No "|"Silty clay loam"|"7943135"|"15598243"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7943136"|"15153730"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7943136"|"15450073"
"GR-S"|"No "|"No "|"Gravelly sand"|"7943136"|"15598244"
"SR- SL SICL"|"Yes"|"Yes"|"Stratified sandy loam to silty clay loam"|"7943137"|"15301902"
"CL"|"No "|"No "|"Clay loam"|"7943138"|"15450074"
"L"|"No "|"No "|"Loam"|"7943138"|"15598245"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7943139"|"15153731"
"GR-S"|"No "|"No "|"Gravelly sand"|"7943139"|"15301903"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7943139"|"15450075"
