site,policy,mukey,cokey,compname,comppct_r,thickness_cm,status,reason_codes,horizon_count,interval_sum_cm,interval_union_cm,deepest_bottom_cm
moscow_mountain,all_layers,2437917,26387435,Porrett,10.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,2437917,26387436,Aquandic Endoaquepts,5.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,all_layers,2487253,26387450,Larkin,30.0,162.0,valid,,4,162.0,162.0,162.0
moscow_mountain,all_layers,2487253,26387451,Driscoll,40.0,173.0,valid,,2,173.0,173.0,173.0
moscow_mountain,all_layers,2487255,26387452,Garfield,90.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,all_layers,2487260,26387453,Joel,90.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,all_layers,2487269,26387462,Larkin,85.0,162.0,valid,,4,162.0,162.0,162.0
moscow_mountain,all_layers,2487272,26387467,Latahco,55.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,all_layers,2487272,26387468,Lovell,35.0,,unavailable,thickness_conflict,3,152.0,152.0,152.0
moscow_mountain,all_layers,2487272,26387469,Aquolls,5.0,150.0,valid,,5,150.0,150.0,150.0
moscow_mountain,all_layers,2487290,26387486,Southwick,85.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,all_layers,2487291,26387487,Southwick,85.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,all_layers,2501171,26387531,Brodeer,60.0,170.0,valid,,6,170.0,170.0,170.0
moscow_mountain,all_layers,2501171,26387532,Mushel,35.0,173.0,valid,,7,173.0,173.0,173.0
moscow_mountain,all_layers,2501175,26387535,Carlinton,50.0,157.0,valid,,5,157.0,157.0,157.0
moscow_mountain,all_layers,2501175,26387536,Kruse,35.0,155.0,valid,,6,155.0,155.0,155.0
topanga,strict_soil,456007,27412455,Typic Haploxerepts,3.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,456007,27412456,Cropley,5.0,152.0,valid,,2,152.0,152.0,152.0
topanga,strict_soil,456007,27412457,Gazos,5.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,456007,27412458,Balcom,85.0,,unavailable,ambiguous_material,3,200.0,200.0,200.0
topanga,strict_soil,456007,27412459,Urban land,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,456024,27412460,Balcom,10.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,456024,27412461,Millsholm,90.0,38.0,valid,bedrock_excluded,3,63.0,63.0,63.0
topanga,strict_soil,456042,27412309,Unnamed,1.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,456042,27412310,Rock outcrop,4.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,456042,27412311,Xerorthents,45.0,,unavailable,ambiguous_material,2,177.0,177.0,177.0
topanga,strict_soil,456042,27412312,Balcom,15.0,,unavailable,ambiguous_material,2,150.0,150.0,150.0
topanga,strict_soil,456042,27412313,Urban land,35.0,,unavailable,ambiguous_material,1,15.0,15.0,15.0
