site,outlet,policy,support_mode,outside_area_range,duration_min,scenario,F,T,reference_S,ssurgo_S,rainfall_mm,reference_probability,ssurgo_probability,delta_probability_pp,reference_threshold_mm,ssurgo_threshold_mm,delta_threshold_mm,delta_threshold_mm_hour,delta_threshold_pct
topanga,terminal,strict_soil,common_support,False,15,reference_p0.75,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,14.550404764915452,0.75,0.8791474920751896,12.91474920751896,,,,,
topanga,terminal,strict_soil,common_support,False,30,inverse_p0.5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,,0.5,,,17.513406100792004,14.408782237381937,-3.104623863410067,-6.209247726820134,-17.727127696020638
topanga,terminal,strict_soil,common_support,False,30,inverse_p0.75,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,,0.75,,,22.590040179621855,18.58547491039792,-4.004565269223935,-8.00913053844787,-17.727127696020627
topanga,terminal,strict_soil,common_support,False,30,fixed_5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,5.0,0.06250459638417119,0.07764164523108799,1.51370488469168,,,,,
topanga,terminal,strict_soil,common_support,False,30,fixed_10,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,10.0,0.1643868166878437,0.23872911746134037,7.434230077349668,,,,,
topanga,terminal,strict_soil,common_support,False,30,fixed_20,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,20.0,0.631373336134932,0.8131607993344464,18.178746319951443,,,,,
topanga,terminal,strict_soil,common_support,False,30,reference_p0.5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,17.513406100792004,0.5000000000000001,0.6935187534955787,19.351875349557858,,,,,
topanga,terminal,strict_soil,common_support,False,30,reference_p0.75,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,22.590040179621855,0.75,0.8958507830701367,14.585078307013665,,,,,
topanga,terminal,strict_soil,common_support,False,60,inverse_p0.5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,,0.5,,,29.819532428624036,24.83036437433269,-4.989168054291348,-4.989168054291348,-16.731208197960214
topanga,terminal,strict_soil,common_support,False,60,inverse_p0.75,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,,0.75,,,39.287770801000796,32.71445207194793,-6.573318729052865,-6.573318729052865,-16.731208197960214
topanga,terminal,strict_soil,common_support,False,60,fixed_5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,5.0,0.05315902046766833,0.05934143648595253,0.6182416018284204,,,,,
topanga,terminal,strict_soil,common_support,False,60,fixed_10,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,10.0,0.09114891149618023,0.11239126469360149,2.1242353197421253,,,,,
topanga,terminal,strict_soil,common_support,False,60,fixed_20,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,20.0,0.24243542314008615,0.3378053668461649,9.536994370607877,,,,,
topanga,terminal,strict_soil,common_support,False,60,reference_p0.5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,29.819532428624036,0.5,0.6671267364089016,16.712673640890163,,,,,
topanga,terminal,strict_soil,common_support,False,60,reference_p0.75,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,39.287770801000796,0.75,0.8823188651160939,13.231886511609392,,,,,
topanga,terminal,strict_soil,known_support,False,15,inverse_p0.5,0.5,0.1522430179004554,0.2904526236997437,0.3779527559055118,,0.5,,,10.593023771492284,9.479870403488608,-1.113153368003676,-4.452613472014704,-10.508362786831182
