"SR- LS SCL"|"Yes"|"Yes"|"Stratified loamy sand to sandy clay loam"|"7928968"|"15147400"
"LS"|"No "|"Yes"|"Loamy sand"|"8075913"|"15212730"
"SL"|"No "|"No "|"Sandy loam"|"8075914"|"15360902"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075914"|"15509074"
"CL"|"No "|"No "|"Clay loam"|"8075915"|"15212731"
"L"|"No "|"No "|"Loam"|"8075915"|"15360903"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075915"|"15657245"
"VAR"|"No "|"Yes"|"Variable"|"8075916"|"15509075"
"LS"|"No "|"No "|"Loamy sand"|"8075917"|"15212732"
"LFS"|"No "|"No "|"Loamy fine sand"|"8075917"|"15360904"
"S"|"No "|"No "|"Sand"|"8075917"|"15657246"
"CL"|"No "|"No "|"Clay loam"|"8075918"|"15212733"
"C"|"No "|"No "|"Clay"|"8075918"|"15509076"
"SC"|"No "|"No "|"Sandy clay"|"8075918"|"15657247"
"SC"|"No "|"No "|"Sandy clay"|"8075919"|"15360905"
"C"|"No "|"No "|"Clay"|"8075919"|"15509077"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075919"|"15657248"
"SL"|"No "|"Yes"|"Sandy loam"|"8075920"|"15212734"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075921"|"15360906"
"SL"|"No "|"No "|"Sandy loam"|"8075921"|"15509078"
"SC"|"No "|"No "|"Sandy clay"|"8075921"|"15657249"
"SC"|"No "|"No "|"Sandy clay"|"8075922"|"15212735"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075922"|"15360907"
"C"|"No "|"No "|"Clay"|"8075922"|"15509079"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8075923"|"15657250"
"FS"|"No "|"Yes"|"Fine sand"|"8075924"|"15212736"
"FS"|"No "|"No "|"Fine sand"|"8075925"|"15360908"
"S"|"No "|"No "|"Sand"|"8075925"|"15509080"
"LFS"|"No "|"No "|"Loamy fine sand"|"8075925"|"15657251"
"S"|"No "|"No "|"Sand"|"8075926"|"15212737"
"LS"|"No "|"No "|"Loamy sand"|"8075926"|"15360909"
"LFS"|"No "|"No "|"Loamy fine sand"|"8075926"|"15509081"
"FS"|"No "|"No "|"Fine sand"|"8075927"|"15212738"
"S"|"No "|"No "|"Sand"|"8075927"|"15657252"
"FS"|"No "|"No "|"Fine sand"|"8075928"|"15360910"
"S"|"No "|"No "|"Sand"|"8075928"|"15509082"
"LFS"|"No "|"No "|"Loamy fine sand"|"8075928"|"15657253"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"8075929"|"15212739"
"FS"|"No "|"No "|"Fine sand"|"8075930"|"15360911"
"S"|"No "|"No "|"Sand"|"8075930"|"15509083"
"LFS"|"No "|"No "|"Loamy fine sand"|"8075930"|"15657254"
"SL"|"No "|"No "|"Sandy loam"|"8075931"|"15212740"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075931"|"15360912"
"SIC"|"No "|"No "|"Silty clay"|"8075932"|"15212741"
"CL"|"No "|"No "|"Clay loam"|"8075932"|"15509084"
"C"|"No "|"No "|"Clay"|"8075932"|"15657255"
"S"|"No "|"Yes"|"Sand"|"8075933"|"15360913"
"LS"|"No "|"No "|"Loamy sand"|"8075934"|"15509085"
"SL"|"No "|"No "|"Sandy loam"|"8075934"|"15657256"
"L"|"No "|"No "|"Loam"|"8075935"|"15212742"
"CL"|"No "|"No "|"Clay loam"|"8075935"|"15360914"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075935"|"15509086"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075936"|"15212743"
"SL"|"No "|"No "|"Sandy loam"|"8075936"|"15657257"
"FS"|"No "|"Yes"|"Fine sand"|"8075937"|"15360915"
"VAR"|"No "|"Yes"|"Variable"|"8075938"|"15509087"
"LS"|"No "|"Yes"|"Loamy sand"|"8075939"|"15657258"
"C"|"No "|"No "|"Clay"|"8075940"|"15212744"
"CL"|"No "|"No "|"Clay loam"|"8075940"|"15360916"
"SIC"|"No "|"No "|"Silty clay"|"8075940"|"15509088"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"8075941"|"15212745"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075941"|"15657259"
"SL"|"No "|"No "|"Sandy loam"|"8075942"|"15360917"
"FSL"|"No "|"No "|"Fine sandy loam"|"8075942"|"15509089"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075942"|"15657260"
"S"|"No "|"No "|"Sand"|"8075943"|"15212746"
"FS"|"No "|"No "|"Fine sand"|"8075943"|"15360918"
"SL"|"No "|"No "|"Sandy loam"|"8075944"|"15212747"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075944"|"15509090"
"SC"|"No "|"No "|"Sandy clay"|"8075944"|"15657261"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8075945"|"15360919"
"SL"|"No "|"No "|"Sandy loam"|"8075946"|"15212748"
"LS"|"No "|"No "|"Loamy sand"|"8075946"|"15509091"
"S"|"No "|"No "|"Sand"|"8075946"|"15657262"
"VAR"|"No "|"Yes"|"Variable"|"8075947"|"15360920"
"VAR"|"No "|"Yes"|"Variable"|"8075948"|"15509092"
"SIL"|"No "|"Yes"|"Silt loam"|"8075949"|"15657263"
"VAR"|"No "|"Yes"|"Variable"|"8075950"|"15212749"
"FS"|"No "|"Yes"|"Fine sand"|"8075951"|"15360921"
"S"|"No "|"No "|"Sand"|"8075952"|"15509093"
"FS"|"No "|"No "|"Fine sand"|"8075952"|"15657264"
"SL"|"No "|"No "|"Sandy loam"|"8075953"|"15212750"
"FSL"|"No "|"No "|"Fine sandy loam"|"8075953"|"15360922"
"MK-SL"|"No "|"No "|"Mucky sandy loam"|"8075953"|"15509094"
"S"|"No "|"No "|"Sand"|"8075954"|"15212751"
"FS"|"No "|"No "|"Fine sand"|"8075954"|"15360923"
"COS"|"No "|"No "|"Coarse sand"|"8075954"|"15657265"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8075955"|"15509095"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8075956"|"15657266"
"SIL"|"No "|"Yes"|"Silt loam"|"8075957"|"15212752"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8075958"|"15360924"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8075959"|"15509096"
"VAR"|"No "|"Yes"|"Variable"|"8075960"|"15657267"
"FSL"|"No "|"No "|"Fine sandy loam"|"8075961"|"15212753"
"SL"|"No "|"No "|"Sandy loam"|"8075961"|"15360925"
"L"|"No "|"No "|"Loam"|"8075961"|"15509097"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8075962"|"15657268"
"FSL"|"No "|"No "|"Fine sandy loam"|"8075963"|"15212754"
"SL"|"No "|"No "|"Sandy loam"|"8075963"|"15360926"
"L"|"No "|"No "|"Loam"|"8075963"|"15509098"
"VAR"|"No "|"Yes"|"Variable"|"8075964"|"15657269"
"SL"|"No "|"No "|"Sandy loam"|"8075965"|"15212755"
"FSL"|"No "|"No "|"Fine sandy loam"|"8075965"|"15360927"
"L"|"No "|"No "|"Loam"|"8075965"|"15509099"
"SL"|"No "|"No "|"Sandy loam"|"8075966"|"15212756"
"SC"|"No "|"No "|"Sandy clay"|"8075966"|"15360928"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075966"|"15657270"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075967"|"15212757"
"SC"|"No "|"No "|"Sandy clay"|"8075967"|"15509100"
"C"|"No "|"No "|"Clay"|"8075967"|"15657271"
"LS"|"No "|"Yes"|"Loamy sand"|"8075968"|"15360929"
"SL"|"No "|"No "|"Sandy loam"|"8075969"|"15509101"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075969"|"15657272"
"SCL"|"No "|"No "|"Sandy clay loam"|"8075970"|"15212758"
"SC"|"No "|"No "|"Sandy clay"|"8075970"|"15360930"
"CL"|"No "|"No "|"Clay loam"|"8075970"|"15509102"
"LS"|"No "|"Yes"|"Loamy sand"|"8075971"|"15657273"
"LS"|"No "|"Yes"|"Loamy sand"|"8075972"|"15212759"
"SL"|"No "|"Yes"|"Sandy loam"|"8075973"|"15360931"
"LS"|"No "|"Yes"|"Loamy sand"|"8075974"|"15509103"
"GRV-L"|"No "|"No "|"Very gravelly loam"|"8080993"|"15363078"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"8080993"|"15511250"
"GRX-C"|"No "|"No "|"Extremely gravelly clay"|"8080993"|"15659421"
"FSL"|"No "|"No "|"Fine sandy loam"|"8080994"|"15214907"
"L"|"No "|"No "|"Loam"|"8080994"|"15363079"
"CL"|"No "|"No "|"Clay loam"|"8081117"|"15214964"
"SICL"|"No "|"No "|"Silty clay loam"|"8081117"|"15511307"
"SIL"|"No "|"No "|"Silt loam"|"8081117"|"15659478"
"GR-FSL"|"No "|"No "|"Gravelly fine sandy loam"|"8081118"|"15363136"
"CB-SL"|"No "|"No "|"Cobbly sandy loam"|"8081118"|"15511308"
"ST-SL"|"No "|"No "|"Stony sandy loam"|"8081118"|"15659479"
"SL"|"No "|"Yes"|"Sandy loam"|"8081121"|"15214966"
"L"|"No "|"Yes"|"Loam"|"8081122"|"15363138"
"L"|"No "|"No "|"Loam"|"8081123"|"15214967"
"FSL"|"No "|"No "|"Fine sandy loam"|"8081123"|"15511310"
"SL"|"No "|"No "|"Sandy loam"|"8081123"|"15659481"
"SL"|"No "|"No "|"Sandy loam"|"8081124"|"15363139"
"L"|"No "|"No "|"Loam"|"8081124"|"15511311"
"SCL"|"No "|"No "|"Sandy clay loam"|"8081124"|"15659482"
"GR-L"|"No "|"No "|"Gravelly loam"|"8081125"|"15214968"
"GRV-L"|"No "|"No "|"Very gravelly loam"|"8081125"|"15363140"
"CB-L"|"No "|"No "|"Cobbly loam"|"8081125"|"15511312"
"L"|"No "|"Yes"|"Loam"|"8081126"|"15659483"
"CL"|"No "|"No "|"Clay loam"|"8081127"|"15214969"
"SCL"|"No "|"No "|"Sandy clay loam"|"8081127"|"15363141"
"L"|"No "|"No "|"Loam"|"8081127"|"15511313"
"FSL"|"No "|"No "|"Fine sandy loam"|"8081136"|"15214974"
"SIL"|"No "|"No "|"Silt loam"|"8081136"|"15363146"
"L"|"No "|"No "|"Loam"|"8081136"|"15659488"
"SIL"|"No "|"No "|"Silt loam"|"8081137"|"15214975"
"L"|"No "|"No "|"Loam"|"8081137"|"15511318"
"FSL"|"No "|"No "|"Fine sandy loam"|"8081137"|"15659489"
"CN-L"|"No "|"No "|"Channery loam"|"8081138"|"15363147"
"CN-SCL"|"No "|"No "|"Channery sandy clay loam"|"8081138"|"15511319"
"SCL"|"No "|"No "|"Sandy clay loam"|"8081138"|"15659490"
"FSL"|"No "|"No "|"Fine sandy loam"|"8088373"|"15218248"
"L"|"No "|"No "|"Loam"|"8088373"|"15366420"
"SL"|"No "|"No "|"Sandy loam"|"8088373"|"15662762"
"VAR"|"No "|"Yes"|"Variable"|"8088374"|"15514592"
"CL"|"No "|"No "|"Clay loam"|"8088375"|"15218249"
"SCL"|"No "|"No "|"Sandy clay loam"|"8088375"|"15366421"
"C"|"No "|"No "|"Clay"|"8088375"|"15662763"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8088457"|"15662804"
"SIL"|"No "|"Yes"|"Silt loam"|"8091141"|"15219487"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"8091142"|"15367659"
"SIL"|"No "|"Yes"|"Silt loam"|"8091143"|"15515831"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8091144"|"15664002"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8091208"|"15219520"
"GRV-SIL"|"No "|"No "|"Very gravelly silt loam"|"8091208"|"15367692"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8091208"|"15664034"
"SICL"|"No "|"No "|"Silty clay loam"|"8091209"|"15515864"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8091209"|"15664035"
"SIL"|"No "|"No "|"Silt loam"|"8091210"|"15219521"
"L"|"No "|"No "|"Loam"|"8091210"|"15367693"
"CL"|"No "|"No "|"Clay loam"|"8091210"|"15515865"
"SIL"|"No "|"Yes"|"Silt loam"|"8091232"|"15367703"
"CN-SIC"|"No "|"No "|"Channery silty clay"|"8091233"|"15219532"
"SIC"|"No "|"No "|"Silty clay"|"8091233"|"15515875"
"C"|"No "|"No "|"Clay"|"8091233"|"15664046"
"SIL"|"No "|"No "|"Silt loam"|"8091234"|"15367704"
"SICL"|"No "|"No "|"Silty clay loam"|"8091234"|"15515876"
"SIC"|"No "|"No "|"Silty clay"|"8091235"|"15219533"
"C"|"No "|"No "|"Clay"|"8091235"|"15367705"
"SICL"|"No "|"No "|"Silty clay loam"|"8091235"|"15664047"
"C"|"No "|"No "|"Clay"|"8095601"|"15221427"
"CL"|"No "|"No "|"Clay loam"|"8095601"|"15517770"
"SC"|"No "|"No "|"Sandy clay"|"8095601"|"15665941"
"FSL"|"No "|"No "|"Fine sandy loam"|"8095602"|"15369599"
"SL"|"No "|"No "|"Sandy loam"|"8095602"|"15517771"
"SCL"|"No "|"No "|"Sandy clay loam"|"8095602"|"15665942"
"SL"|"No "|"Yes"|"Sandy loam"|"8095603"|"15221428"
"SL"|"No "|"No "|"Sandy loam"|"8095634"|"15221445"
"CL"|"No "|"No "|"Clay loam"|"8095634"|"15517788"
"SCL"|"No "|"No "|"Sandy clay loam"|"8095634"|"15665959"
"C"|"No "|"No "|"Clay"|"8095635"|"15369617"
"CL"|"No "|"No "|"Clay loam"|"8095635"|"15517789"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"8095636"|"15665960"
"SIL"|"No "|"Yes"|"Silt loam"|"8095637"|"15221446"
"L"|"No "|"No "|"Loam"|"8095721"|"15221485"
"CL"|"No "|"No "|"Clay loam"|"8095721"|"15369657"
"SCL"|"No "|"No "|"Sandy clay loam"|"8095721"|"15665999"
"SCL"|"No "|"No "|"Sandy clay loam"|"8095722"|"15517829"
"SC"|"No "|"No "|"Sandy clay"|"8095722"|"15666000"
"SCL"|"No "|"No "|"Sandy clay loam"|"8095742"|"15221495"
"SC"|"No "|"No "|"Sandy clay"|"8095742"|"15666009"
"SL"|"No "|"Yes"|"Sandy loam"|"8095743"|"15369667"
"SL"|"No "|"Yes"|"Sandy loam"|"8095744"|"15517839"
"LS"|"No "|"Yes"|"Loamy sand"|"8095748"|"15369669"
"CL"|"No "|"No "|"Clay loam"|"8095749"|"15517841"
"SCL"|"No "|"No "|"Sandy clay loam"|"8095749"|"15666012"
"SIL"|"No "|"No "|"Silt loam"|"8095758"|"15221502"
"LS"|"No "|"No "|"Loamy sand"|"8095758"|"15517845"
"SL"|"No "|"No "|"Sandy loam"|"8095758"|"15666016"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"8095879"|"15221562"
"CB-C"|"No "|"No "|"Cobbly clay"|"8095879"|"15369734"
"ST-CL"|"No "|"No "|"Stony clay loam"|"8095879"|"15666076"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8095880"|"15517906"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8095881"|"15666077"
"SIL"|"No "|"No "|"Silt loam"|"8095882"|"15221563"
"CL"|"No "|"No "|"Clay loam"|"8095882"|"15369735"
"SICL"|"No "|"No "|"Silty clay loam"|"8095882"|"15517907"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"8095883"|"15666078"
"VAR"|"No "|"Yes"|"Variable"|"8095884"|"15221564"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8095922"|"15221584"
"ST-SIL"|"No "|"No "|"Stony silt loam"|"8095925"|"15221586"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"8095925"|"15517929"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8095925"|"15666100"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8095926"|"15369758"
"GR-SIC"|"No "|"No "|"Gravelly silty clay"|"8095926"|"15517930"
"GR-C"|"No "|"No "|"Gravelly clay"|"8095926"|"15666101"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"8095927"|"15221587"
"C"|"No "|"No "|"Clay"|"8095947"|"15221598"
"SIC"|"No "|"No "|"Silty clay"|"8095947"|"15369770"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"8095948"|"15221599"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8095948"|"15517942"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8095948"|"15666113"
"SR- SL SICL"|"Yes"|"Yes"|"Stratified sandy loam to silty clay loam"|"8095949"|"15369771"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8095950"|"15517943"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096007"|"15369796"
"CL"|"No "|"No "|"Clay loam"|"8096007"|"15517968"
"L"|"No "|"No "|"Loam"|"8096007"|"15666139"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8096008"|"15221625"
"C"|"No "|"No "|"Clay"|"8096029"|"15517977"
"CL"|"No "|"No "|"Clay loam"|"8096029"|"15666148"
"SC"|"No "|"No "|"Sandy clay"|"8096030"|"15221634"
"CL"|"No "|"No "|"Clay loam"|"8096030"|"15369806"
"C"|"No "|"No "|"Clay"|"8096030"|"15517978"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096031"|"15221635"
"SL"|"No "|"No "|"Sandy loam"|"8096031"|"15369807"
"CL"|"No "|"No "|"Clay loam"|"8096031"|"15666149"
"L"|"No "|"No "|"Loam"|"8096032"|"15221636"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096032"|"15517979"
"CL"|"No "|"No "|"Clay loam"|"8096032"|"15666150"
"SL"|"No "|"No "|"Sandy loam"|"8096444"|"15370002"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096444"|"15518174"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096444"|"15666345"
"LFS"|"No "|"No "|"Loamy fine sand"|"8096445"|"15221831"
"SL"|"No "|"No "|"Sandy loam"|"8096445"|"15370003"
"S"|"No "|"No "|"Sand"|"8096445"|"15518175"
"FS"|"No "|"No "|"Fine sand"|"8096515"|"15518209"
"S"|"No "|"No "|"Sand"|"8096515"|"15666380"
"LS"|"No "|"No "|"Loamy sand"|"8096516"|"15221866"
"SL"|"No "|"No "|"Sandy loam"|"8096516"|"15370038"
"S"|"No "|"Yes"|"Sand"|"8096519"|"15370039"
"S"|"No "|"No "|"Sand"|"8096520"|"15518211"
"FS"|"No "|"No "|"Fine sand"|"8096520"|"15666382"
"FS"|"No "|"Yes"|"Fine sand"|"8096521"|"15221868"
"S"|"No "|"No "|"Sand"|"8096522"|"15370040"
"FS"|"No "|"No "|"Fine sand"|"8096522"|"15518212"
"SL"|"No "|"No "|"Sandy loam"|"8096523"|"15221869"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096523"|"15370041"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096523"|"15666383"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096524"|"15221870"
"SL"|"No "|"No "|"Sandy loam"|"8096524"|"15518213"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"8096524"|"15666384"
"L"|"No "|"No "|"Loam"|"8096525"|"15370042"
"CL"|"No "|"No "|"Clay loam"|"8096525"|"15518214"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096525"|"15666385"
"C"|"No "|"No "|"Clay"|"8096530"|"15221873"
"SC"|"No "|"No "|"Sandy clay"|"8096530"|"15370045"
"CL"|"No "|"No "|"Clay loam"|"8096530"|"15518217"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096531"|"15221874"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096531"|"15370046"
"SL"|"No "|"No "|"Sandy loam"|"8096531"|"15666388"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096532"|"15221875"
"SL"|"No "|"No "|"Sandy loam"|"8096532"|"15518218"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"8096532"|"15666389"
"SL"|"No "|"No "|"Sandy loam"|"8096660"|"15221936"
"L"|"No "|"No "|"Loam"|"8096660"|"15370108"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096660"|"15518280"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8096661"|"15221937"
"GR-L"|"No "|"No "|"Gravelly loam"|"8096661"|"15370109"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8096661"|"15666451"
"C"|"No "|"Yes"|"Clay"|"8096662"|"15518281"
"VAR"|"No "|"Yes"|"Variable"|"8096663"|"15666452"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8096664"|"15221938"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8096665"|"15370110"
"GR-C"|"No "|"No "|"Gravelly clay"|"8096665"|"15518282"
"GR-C"|"No "|"No "|"Gravelly clay"|"8096666"|"15221939"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8096666"|"15666453"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8096667"|"15370111"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8096668"|"15518283"
"SIL"|"No "|"Yes"|"Silt loam"|"8096669"|"15666454"
"VAR"|"No "|"Yes"|"Variable"|"8096670"|"15221940"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8096671"|"15370112"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096672"|"15221941"
"L"|"No "|"No "|"Loam"|"8096672"|"15518284"
"CL"|"No "|"No "|"Clay loam"|"8096672"|"15666455"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096673"|"15370113"
"L"|"No "|"No "|"Loam"|"8096673"|"15518285"
"SL"|"No "|"No "|"Sandy loam"|"8096673"|"15666456"
"SICL"|"No "|"No "|"Silty clay loam"|"8096674"|"15221942"
"SIC"|"No "|"No "|"Silty clay"|"8096674"|"15370114"
"C"|"No "|"No "|"Clay"|"8096674"|"15518286"
"SIC"|"No "|"No "|"Silty clay"|"8096675"|"15221943"
"SICL"|"No "|"No "|"Silty clay loam"|"8096675"|"15666457"
"SICL"|"No "|"No "|"Silty clay loam"|"8096676"|"15370115"
"SIC"|"No "|"No "|"Silty clay"|"8096676"|"15518287"
"C"|"No "|"No "|"Clay"|"8096676"|"15666458"
"SIC"|"No "|"No "|"Silty clay"|"8096677"|"15221944"
"SICL"|"No "|"No "|"Silty clay loam"|"8096677"|"15370116"
"C"|"No "|"No "|"Clay"|"8096677"|"15518288"
"L"|"No "|"No "|"Loam"|"8096678"|"15221945"
"SL"|"No "|"No "|"Sandy loam"|"8096678"|"15370117"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096678"|"15666459"
"CL"|"No "|"No "|"Clay loam"|"8096679"|"15221946"
"C"|"No "|"No "|"Clay"|"8096679"|"15518289"
"SIC"|"No "|"No "|"Silty clay"|"8096679"|"15666460"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"8096680"|"15370118"
"GR-L"|"No "|"No "|"Gravelly loam"|"8096680"|"15518290"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8096680"|"15666461"
"CL"|"No "|"No "|"Clay loam"|"8096681"|"15221947"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096681"|"15370119"
"C"|"No "|"No "|"Clay"|"8096681"|"15518291"
"CL"|"No "|"No "|"Clay loam"|"8096682"|"15221948"
"SIL"|"No "|"No "|"Silt loam"|"8096682"|"15370120"
"SICL"|"No "|"No "|"Silty clay loam"|"8096682"|"15666462"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"8096683"|"15221949"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8096683"|"15518292"
"GR-L"|"No "|"No "|"Gravelly loam"|"8096683"|"15666463"
"L"|"No "|"Yes"|"Loam"|"8096684"|"15370121"
"L"|"No "|"Yes"|"Loam"|"8096685"|"15518293"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096686"|"15221950"
"SL"|"No "|"No "|"Sandy loam"|"8096686"|"15666464"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096687"|"15370122"
"CL"|"No "|"No "|"Clay loam"|"8096687"|"15518294"
"VAR"|"No "|"Yes"|"Variable"|"8096688"|"15666465"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8096689"|"15221951"
"SL"|"No "|"Yes"|"Sandy loam"|"8096690"|"15370123"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8096691"|"15518295"
"CN-L"|"No "|"Yes"|"Channery loam"|"8096692"|"15666466"
"CN-L"|"No "|"Yes"|"Channery loam"|"8096693"|"15221952"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8096694"|"15370124"
"L"|"No "|"No "|"Loam"|"8096695"|"15221953"
"SICL"|"No "|"No "|"Silty clay loam"|"8096695"|"15518296"
"CL"|"No "|"No "|"Clay loam"|"8096695"|"15666467"
"L"|"No "|"No "|"Loam"|"8096696"|"15370125"
"SL"|"No "|"No "|"Sandy loam"|"8096696"|"15518297"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096696"|"15666468"
"CN-SL"|"No "|"No "|"Channery sandy loam"|"8096697"|"15221954"
"CN-L"|"No "|"No "|"Channery loam"|"8096697"|"15370126"
"CNV-SL"|"No "|"No "|"Very channery sandy loam"|"8096697"|"15518298"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8096698"|"15221955"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8096698"|"15370127"
"GR-L"|"No "|"No "|"Gravelly loam"|"8096698"|"15666469"
"SL"|"No "|"No "|"Sandy loam"|"8096699"|"15518299"
"L"|"No "|"No "|"Loam"|"8096699"|"15666470"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096700"|"15221956"
"SL"|"No "|"No "|"Sandy loam"|"8096700"|"15370128"
"L"|"No "|"No "|"Loam"|"8096700"|"15518300"
"VAR"|"No "|"Yes"|"Variable"|"8096701"|"15666471"
"SL"|"No "|"No "|"Sandy loam"|"8096702"|"15221957"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096702"|"15370129"
"L"|"No "|"No "|"Loam"|"8096702"|"15518301"
"SL"|"No "|"No "|"Sandy loam"|"8096703"|"15221958"
"L"|"No "|"No "|"Loam"|"8096703"|"15370130"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096703"|"15666472"
"L"|"No "|"No "|"Loam"|"8096704"|"15221959"
"SL"|"No "|"No "|"Sandy loam"|"8096704"|"15518302"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096704"|"15666473"
"VAR"|"No "|"Yes"|"Variable"|"8096705"|"15370131"
"SCL"|"No "|"No "|"Sandy clay loam"|"8096706"|"15221960"
"C"|"No "|"No "|"Clay"|"8096706"|"15518303"
"CL"|"No "|"No "|"Clay loam"|"8096706"|"15666474"
"SL"|"No "|"No "|"Sandy loam"|"8096707"|"15370132"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096707"|"15518304"
"L"|"No "|"No "|"Loam"|"8096707"|"15666475"
"VAR"|"No "|"Yes"|"Variable"|"8096708"|"15221961"
"FSL"|"No "|"No "|"Fine sandy loam"|"8096709"|"15370133"
"SL"|"No "|"No "|"Sandy loam"|"8096709"|"15518305"
"L"|"No "|"No "|"Loam"|"8096709"|"15666476"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8096710"|"15221962"
"VAR"|"No "|"Yes"|"Variable"|"8096711"|"15370134"
"VAR"|"No "|"Yes"|"Variable"|"8096712"|"15518306"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8096713"|"15666477"
"C"|"No "|"Yes"|"Clay"|"8096714"|"15221963"
"CL"|"No "|"No "|"Clay loam"|"8096715"|"15370135"
"C"|"No "|"No "|"Clay"|"8096715"|"15518307"
