runid,config,wepp_id,family_primary,family_secondary,family_tertiary,family_rationale,cluster_label,rule_cluster_agreement
ordained-incentive,disturbed9002-wbt-mofe,71,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,80,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
ordained-incentive,disturbed9002-wbt-mofe,81,D6c,D2b,D3,D6c: requires_scientific_review_days=57>=30 and late_max_abs_ofe_closure_residual_mm_max_abs=912.469>500.000.,-1,noise
ordained-incentive,disturbed9002-wbt-mofe,93,D6c,D2b,D3,D6c: requires_scientific_review_days=44>=30 and late_max_abs_ofe_closure_residual_mm_max_abs=580.683>500.000.,-1,noise
ordained-incentive,disturbed9002-wbt-mofe,95,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,96,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,104,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,110,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,138,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,141,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,151,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,154,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,157,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,161,D3,D6a,,D3: soilwater_to_porosity_fraction_p99=1.000>=0.990.,0,agree
ordained-incentive,disturbed9002-wbt-mofe,174,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,195,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,198,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,201,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
