wepp_id,topaz_id,soil_key,area_ha,slope,sbs_map_sediment_t,undisturbed_sediment_t,sediment_delta_t,sbs_map_runoff_mm,undisturbed_runoff_mm,runoff_delta_mm,sbs_map_baseflow_mm,undisturbed_baseflow_mm,sbs_map_lateral_flow_mm,undisturbed_lateral_flow_mm,sbs_map_soil_layers,undisturbed_soil_layers,sbs_map_kslast_mm_hr,undisturbed_kslast_mm_hr,sbs_map_res_lyr_i,undisturbed_res_lyr_i,sbs_map_pmet_entry,sbs_map_pmet_station,sbs_map_pmet_description,undisturbed_pmet_entry,undisturbed_pmet_station,undisturbed_pmet_description,inversion
120,541,3114518-silt loam-tall grass,4.1,0.6004451811313629,2.8877,3.3983000000000003,-0.5106000000000006,58.958536585365856,80.5439024390244,-21.585365853658537,90.15365853658535,0.0,463.9024390243902,527.7439024390244,5,4,0.01,0.0,,3,1073,Tah_7670,silt_loam-tall_grass,1073,Tah_7670,silt_loam-tall_grass,True
332,1501,3114490-silt loam-tall grass,3.9,0.5967692136764526,0.7447999999999999,1.2319,-0.4871000000000001,8.625641025641025,26.74615384615384,-18.12051282051281,65.22307692307692,0.0,637.0205128205129,667.1564102564103,4,3,0.01,0.0,,2,120,Tah_7670,silt_loam-tall_grass,120,Tah_7670,silt_loam-tall_grass,True
142,632,3114518-silt loam-tall grass,16.6,0.6293152570724487,2.3328,2.8151,-0.4822999999999995,23.61265060240964,29.710843373493976,-6.098192771084339,88.37289156626505,0.0,522.8325301204819,603.8198795180723,5,4,0.01,0.0,,3,1287,Tah_7670,silt_loam-tall_grass,1287,Tah_7670,silt_loam-tall_grass,True
348,1581,3114489-silt loam-tall grass,5.3,0.5881191492080688,0.5139,0.9141,-0.4002,5.283018867924528,18.764150943396228,-13.4811320754717,65.38867924528302,0.0,664.1396226415094,700.9396226415095,4,3,0.01,0.0,,2,138,Tah_7670,silt_loam-tall_grass,138,Tah_7670,silt_loam-tall_grass,True
714,3242,3114506-silt loam-tall grass,3.5,0.684641420841217,0.8623999999999999,1.2459,-0.3835,41.88285714285714,59.17142857142857,-17.28857142857143,81.89142857142858,0.0,642.2657142857142,697.9028571428571,5,4,0.01,0.0,,3,545,Tah_7670,silt_loam-tall_grass,545,Tah_7670,silt_loam-tall_grass,True
3,31,3120807-silt loam-tall grass,4.1,0.5814723968505859,1.1522,1.4970000000000003,-0.3448000000000002,20.10731707317073,28.48780487804878,-8.380487804878051,90.05609756097562,0.0,449.1365853658537,527.9341463414634,5,4,0.01,0.0,,3,508,Tah_7670,silt_loam-tall_grass,508,Tah_7670,silt_loam-tall_grass,True
42,202,3114512-silt loam-tall grass,4.3,0.5635169744491577,0.7619,1.0923,-0.3304,30.390697674418604,42.37441860465116,-11.983720930232558,89.73488372093023,0.0,459.40232558139536,533.5302325581396,5,4,0.01,0.0,,3,244,Tah_7670,silt_loam-tall_grass,244,Tah_7670,silt_loam-tall_grass,True
57,263,3114512-silt loam-tall grass,5.1,0.5715006589889526,0.4763,0.7883,-0.312,16.280392156862746,20.080392156862743,-3.799999999999997,87.77058823529411,0.0,489.25882352941176,571.864705882353,5,4,0.01,0.0,,3,390,Tah_7670,silt_loam-tall_grass,390,Tah_7670,silt_loam-tall_grass,True
445,2013,3120797-silt loam-tall grass,3.3,0.5469949841499329,0.9122,1.2235999999999998,-0.3113999999999998,78.06969696969696,109.6969696969697,-31.62727272727274,87.9969696969697,0.0,590.339393939394,636.1757575757575,5,4,0.01,0.0,,3,243,Tah_7670,silt_loam-tall_grass,243,Tah_7670,silt_loam-tall_grass,True
35,162,3114512-silt loam-tall grass,11.2,0.6145997047424316,0.9248,1.226,-0.3012,13.54375,15.586607142857142,-2.0428571428571427,85.32589285714286,0.0,496.5392857142857,578.8357142857143,5,4,0.01,0.0,,3,149,Tah_7670,silt_loam-tall_grass,149,Tah_7670,silt_loam-tall_grass,True
213,941,3114517-silt loam-tall grass,4.3,0.5655792057514191,1.3054,1.6012,-0.2957999999999998,43.07209302325582,56.21860465116279,-13.146511627906976,89.68139534883721,0.0,529.7906976744187,603.8116279069767,5,4,0.01,0.0,,3,1897,Tah_7670,silt_loam-tall_grass,1897,Tah_7670,silt_loam-tall_grass,True
67,311,3114517-silt loam-tall grass,3.9,0.4714924991130829,0.7353999999999999,0.9971,-0.2617,30.887179487179488,43.238461538461536,-12.351282051282048,88.6,0.0,454.6179487179487,527.3051282051282,5,4,0.01,0.0,,3,511,Tah_7670,silt_loam-tall_grass,511,Tah_7670,silt_loam-tall_grass,True
40,191,3120805-silt loam-tall grass,4.0,0.509429931640625,1.0257,1.2851,-0.2593999999999998,28.655,40.25,-11.595,90.4025,0.0,458.2025,533.225,5,4,0.01,0.0,,3,219,Tah_7670,silt_loam-tall_grass,219,Tah_7670,silt_loam-tall_grass,True
34,161,3114512-silt loam-tall grass,4.1,0.5399426519870758,1.1646,1.4164,-0.2518000000000002,33.802439024390246,47.38292682926829,-13.580487804878048,90.1609756097561,0.0,474.99756097560976,548.0512195121951,5,4,0.01,0.0,,3,145,Tah_7670,silt_loam-tall_grass,145,Tah_7670,silt_loam-tall_grass,True
84,391,3114517-silt loam-tall grass,3.9,0.5239928960800171,1.1168,1.3406,-0.2238,39.64615384615384,54.93076923076923,-15.284615384615384,88.6025641025641,0.0,451.7025641025641,520.7692307692307,5,4,0.01,0.0,,3,708,Tah_7670,silt_loam-tall_grass,708,Tah_7670,silt_loam-tall_grass,True
122,543,3114518-silt loam-tall grass,1.0,0.5911417603492737,0.7846000000000001,1.0022,-0.2175999999999999,66.99,90.69,-23.700000000000003,88.39,0.0,439.51,498.62,5,4,0.01,0.0,,3,1078,Tah_7670,silt_loam-tall_grass,1078,Tah_7670,silt_loam-tall_grass,True
736,3342,3114506-silt loam-tall grass,6.3,0.6020823121070862,1.5905,1.8046,-0.2141000000000001,32.25714285714286,45.13333333333333,-12.876190476190471,80.99365079365079,0.0,625.2476190476191,684.2888888888889,5,4,0.01,0.0,,3,571,Tah_7670,silt_loam-tall_grass,571,Tah_7670,silt_loam-tall_grass,True
187,822,3114505-silt loam-tall grass,8.6,0.6375714540481567,1.737,1.9384,-0.2014,29.8546511627907,38.16976744186047,-8.315116279069766,89.02674418604651,0.0,543.1558139534884,622.3151162790698,5,4,0.01,0.0,,3,1746,Tah_7670,silt_loam-tall_grass,1746,Tah_7670,silt_loam-tall_grass,True
674,3062,3114506-silt loam-tall grass,2.8,0.6334210634231567,0.5605,0.7596000000000002,-0.1991000000000001,45.31071428571428,63.71071428571429,-18.40000000000001,82.56071428571428,0.0,616.1321428571429,671.1642857142857,5,4,0.01,0.0,,3,499,Tah_7670,silt_loam-tall_grass,499,Tah_7670,silt_loam-tall_grass,True
183,803,3114505-silt loam-tall grass,5.9,0.6474182307720184,0.8118,1.0032,-0.1913999999999999,22.903389830508477,27.749152542372883,-4.84576271186441,87.74915254237288,0.0,547.664406779661,629.5966101694916,5,4,0.01,0.0,,3,1704,Tah_7670,silt_loam-tall_grass,1704,Tah_7670,silt_loam-tall_grass,True
56,262,3114512-silt loam-tall grass,5.6,0.6098206043243408,0.4928,0.6638999999999999,-0.1710999999999998,14.310714285714283,17.5625,-3.251785714285715,86.61964285714286,0.0,492.55892857142857,574.6767857142858,5,4,0.01,0.0,,3,388,Tah_7670,silt_loam-tall_grass,388,Tah_7670,silt_loam-tall_grass,True
1323,6053,3114489-silt loam-tall grass,4.0,0.5371297001838684,0.5518,0.7147,-0.1629,12.4075,51.145,-38.7375,66.19,0.0,845.2625,858.63,4,3,0.01,0.0,,2,1224,Tah_7670,silt_loam-tall_grass,1224,Tah_7670,silt_loam-tall_grass,True
211,923,3114505-silt loam-tall grass,6.4,0.5753212571144104,1.3435,1.49,-0.1465,34.9359375,45.240625,-10.3046875,88.9578125,0.0,535.475,612.025,5,4,0.01,0.0,,3,1894,Tah_7670,silt_loam-tall_grass,1894,Tah_7670,silt_loam-tall_grass,True
763,3452,3114506-silt loam-tall grass,1.1,0.7397460341453552,0.291,0.4109,-0.1199,35.56363636363636,48.80909090909091,-13.24545454545455,78.55454545454545,0.0,634.8090909090909,691.6545454545454,5,4,0.01,0.0,,3,600,Tah_7670,silt_loam-tall_grass,600,Tah_7670,silt_loam-tall_grass,True
717,3253,3114506-silt loam-tall grass,2.4,0.5564778447151184,0.4413,0.5488999999999999,-0.1075999999999999,45.62083333333333,65.175,-19.554166666666667,83.27916666666667,0.0,650.875,705.5166666666667,5,4,0.01,0.0,,3,548,Tah_7670,silt_loam-tall_grass,548,Tah_7670,silt_loam-tall_grass,True
309,1403,3120797-silt loam-tall grass,1.9,0.6011922359466553,0.5015999999999999,0.6032000000000001,-0.1016000000000001,49.45789473684211,72.82105263157895,-23.363157894736844,85.96315789473684,0.0,543.2526315789473,595.0947368421052,5,4,0.01,0.0,,3,94,Tah_7670,silt_loam-tall_grass,94,Tah_7670,silt_loam-tall_grass,True
54,252,3114512-silt loam-tall grass,1.3,0.5045745968818665,0.3065,0.4056,-0.0991,23.646153846153847,33.15384615384615,-9.507692307692306,86.46923076923076,0.0,452.6769230769231,526.7692307692307,5,4,0.01,0.0,,3,363,Tah_7670,silt_loam-tall_grass,363,Tah_7670,silt_loam-tall_grass,True
209,913,3114505-silt loam-tall grass,3.9,0.5852419137954712,0.5317000000000001,0.6233,-0.0915999999999999,18.31025641025641,21.1,-2.7897435897435905,84.23846153846154,0.0,559.9794871794871,640.7589743589743,5,4,0.01,0.0,,3,1891,Tah_7670,silt_loam-tall_grass,1891,Tah_7670,silt_loam-tall_grass,True
238,1062,3114490-silt loam-tall grass,7.6,0.6913323998451233,0.608,0.6908,-0.0827999999999999,6.5131578947368425,7.0855263157894735,-0.572368421052631,62.09473684210526,0.0,651.0355263157895,701.7473684210527,4,3,0.01,0.0,,2,16,Tah_7670,silt_loam-tall_grass,16,Tah_7670,silt_loam-tall_grass,True
