|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965227"|"15790251"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965227"|"15790252"
|3||"ACGI"|"Acer ginnala"|"Amur maple"|"2965227"|"15893483"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965227"|"15996718"
|3||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965227"|"15790250"
|5||"UNKNOWN"|"unknown scientific name"|"Manchurian crabapple"|"2965227"|"15893485"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"2965227"|"15687017"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965227"|"15687016"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965227"|"15893484"
|6||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965227"|"15996717"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965227"|"15687015"
|7||"PIBA2"|"Pinus banksiana"|"jack pine"|"2965227"|"15996719"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965228"|"15687027"
|9||"ULPU"|"Ulmus pumila"|"Siberian elm"|"2965228"|"15790264"
|5||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965228"|"15893495"
|5||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965228"|"15790262"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965228"|"15996730"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"2965228"|"15790263"
|2||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965228"|"15996729"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965228"|"15893496"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965228"|"15687029"
|6||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965228"|"15893497"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2965228"|"15996731"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965228"|"15687028"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965229"|"15687040"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965229"|"15790276"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965229"|"15893508"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965229"|"15893507"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965229"|"15790275"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965229"|"15687039"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965229"|"15996742"
|18||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965229"|"15996743"
|10||"PIST"|"Pinus strobus"|"eastern white pine"|"2965229"|"15893509"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965229"|"15790274"
|9||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965229"|"15996741"
|9||"QUPA2"|"Quercus palustris"|"pin oak"|"2965229"|"15687041"
|5||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965230"|"15996753"
