site,comparison,outlet,duration_min,F,S,reference_probability,rain_mm,probability30,probability_change_pp,threshold10_mm_h,threshold30_mm_h,threshold_change_mm_h,threshold_change_pct
topanga,native,nested_1000000,30,0.75,0.25,0.75,16.9162673717862,0.7451034694043895,-0.489653059561046,33.8325347435724,34.01306315025745,0.180528406685049,0.5335940923532068
topanga,native,nested_1000000,30,0.75,0.75,0.25,5.738703244842082,0.24835320911140776,-0.16467908885922367,11.477406489684164,11.515066880724078,0.03766039103991403,0.328126315590227
topanga,native,nested_1000000,30,0.75,0.75,0.5,8.081215949071938,0.4969012109081627,-0.3098789091837306,16.162431898143875,16.215465090441032,0.05303319229715697,0.3281263155902048
topanga,native,nested_1000000,30,0.75,0.75,0.75,10.423728653301794,0.74699021598046,-0.3009784019539996,20.847457306603587,20.91586330015799,0.06840599355440347,0.328126315590227
topanga,native,nested_1000000,60,0.25,0.25,0.25,21.93391085996019,0.24581822685644691,-0.4181773143553086,21.93391085996019,22.144239857160205,0.21032899720001552,0.9589215463803313
topanga,native,nested_1000000,60,0.25,0.25,0.5,32.138446054950194,0.49178485189775845,-0.8215148102241554,32.138446054950194,32.44662853884294,0.30818248389274316,0.9589215463803535
topanga,native,nested_1000000,60,0.25,0.25,0.75,42.3429812499402,0.7417940209684337,-0.820597903156628,42.3429812499402,42.74901722052567,0.4060359705854708,0.9589215463803535
topanga,native,nested_1000000,60,0.25,0.75,0.25,11.946762332046578,0.24771644559295972,-0.22835544070402836,11.946762332046578,12.008888610752836,0.06212627870625731,0.5200260704911308
topanga,native,nested_1000000,60,0.25,0.75,0.5,17.504875404626624,0.49552516489946924,-0.4474835100530761,17.504875404626624,17.595905320337675,0.09102991571105079,0.520026070491153
topanga,native,nested_1000000,60,0.25,0.75,0.75,23.062988477206673,0.7455521072000492,-0.44478927999508366,23.062988477206673,23.182922029922516,0.1199335527158425,0.5200260704911308
topanga,native,nested_1000000,60,0.75,0.25,0.25,14.977796587547948,0.24713931107812692,-0.2860688921873078,14.977796587547948,15.075575256585184,0.0977786690372362,0.6528241217972353
topanga,native,nested_1000000,60,0.75,0.25,0.5,21.94606838352951,0.4943899321969429,-0.5610067803057117,21.94606838352951,22.08933761172331,0.14326922819379817,0.6528241217972353
topanga,native,nested_1000000,60,0.75,0.25,0.75,28.914340179511072,0.7444153704205412,-0.5584629579458822,28.914340179511072,29.103099966861432,0.18875978735036014,0.6528241217972353
topanga,native,nested_1000000,60,0.75,0.75,0.25,9.53482661176293,0.24817634391686316,-0.18236560831368376,9.53482661176293,9.574358246475667,0.03953163471273591,0.4146025546386545
topanga,native,nested_1000000,60,0.75,0.75,0.5,13.97081043421377,0.4964285561926908,-0.3571443807309227,13.97081043421377,14.028733771177743,0.05792333696397378,0.4146025546386545
topanga,native,nested_1000000,60,0.75,0.75,0.75,18.406794256664607,0.746454279057904,-0.3545720942096042,18.406794256664607,18.48310929587982,0.07631503921521343,0.4146025546386545
az_ponderosa,controlled,terminal,15,0.25,0.25,0.25,10.838139774523562,0.24949449794954243,-0.05055020504575736,43.35255909809425,43.39739304908137,0.04483395098712606,0.10341708060572774
az_ponderosa,controlled,terminal,15,0.25,0.25,0.5,15.397751313984053,0.4990417986954428,-0.09582013045572046,61.59100525593621,61.65470087548762,0.06369561955141023,0.10341708060572774
az_ponderosa,controlled,terminal,15,0.25,0.25,0.75,19.957362853444543,0.7490673832376343,-0.09326167623656678,79.82945141377817,79.91200870189387,0.0825572881156944,0.10341708060572774
az_ponderosa,controlled,terminal,15,0.25,0.75,0.25,5.486750987697351,0.24974400695029472,-0.02559930497052776,21.947003950789405,21.958488297953718,0.01148434716431268,0.0523276306418019
az_ponderosa,controlled,terminal,15,0.25,0.75,0.5,7.795030234700404,0.4995149152114454,-0.04850847885545795,31.180120938801615,31.19643675732014,0.016315818518524594,0.0523276306418019
az_ponderosa,controlled,terminal,15,0.25,0.75,0.75,10.103309481703455,0.7495281566718189,-0.04718433281810652,40.41323792681382,40.434385216686564,0.021147289872743613,0.05232763064182411
az_ponderosa,controlled,terminal,15,0.75,0.25,0.25,6.43287240004268,0.24969988184017627,-0.03001181598237257,25.73148960017072,25.747277518628554,0.01578791845783556,0.06135641077589238
az_ponderosa,controlled,terminal,15,0.75,0.25,0.5,9.139185460892728,0.4994312684887258,-0.056873151127417865,36.55674184357091,36.57917174826273,0.022429904691819047,0.061356410775870174
az_ponderosa,controlled,terminal,15,0.75,0.25,0.75,11.845498521742774,0.7494467332944486,-0.05532667055514473,47.3819940869711,47.411065977896904,0.029071890925806088,0.06135641077589238
az_ponderosa,controlled,terminal,15,0.75,0.75,0.25,4.074281993501513,0.24980989120862063,-0.01901087913793731,16.297127974006052,16.30345966164083,0.0063316876347769835,0.03885155497873605
az_ponderosa,controlled,terminal,15,0.75,0.75,0.5,5.78833473493723,0.4996397918363852,-0.03602081636148169,23.15333893974892,23.16233437195651,0.008995432207591136,0.03885155497873605
az_ponderosa,controlled,terminal,15,0.75,0.75,0.75,7.502387476372946,0.7496496812166294,-0.03503187833705512,30.009549905491784,30.02120908227219,0.01165917678040529,0.03885155497873605
az_ponderosa,controlled,terminal,30,0.25,0.25,0.25,16.373991374099543,0.24949881904889804,-0.05011809511019649,32.747982748199085,32.78056071423129,0.03257796603220697,0.09948083301098976
