 EVENT OUTPUT
day mo  year Precp  Runoff  IR-det Av-det Mx-det  Point  Av-dep Max-dep  Point Sed.Del    ER
--- --  ----  (mm)    (mm)  kg/m^2 kg/m^2 kg/m^2    (m)  kg/m^2  kg/m^2    (m)  (kg/m)  ----
   20    1    31  45.4    19.8   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.2  1.00
   21    1    31  30.3    12.9   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.2  1.00
   22    1    31  13.8     0.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    5    2    31  58.1     0.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    6    2    31  46.0    24.4   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.0  1.00
   27    2    31  44.8     2.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   18   12    31  79.0    36.3   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.7  1.00
   19   12    31  70.2    49.1   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.3  1.00
   20   12    31  36.6    11.0   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.9  1.00
   21   12    31  28.2    13.3   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.8  1.00
   22   12    31  30.0    16.2   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.6  1.00
   20    3    32  93.2    30.8   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.5  1.00
   28    2    35  79.4    44.0   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.8  1.00
    2   12    35  51.3     5.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   11   12    35  41.9     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    6    1    37  36.2    15.9   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.3  1.00
   23   12    37  50.0     6.7   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.8  1.00
   20    1    38  69.9    33.3   0.000   0.05   0.07  111.4    0.00    0.00    0.0     4.9  1.00
   22    1    38  74.5    56.3   0.000   0.08   0.12  111.4    0.00    0.00    0.0     8.3  1.00
   17    2    38  80.9    25.4   0.000   0.04   0.07  111.4    0.00    0.00    0.0     3.1  1.00
    9    1    39  49.2     4.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   29   11    39  45.2     1.0   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.2  1.00
    6   12    39  31.3     5.2   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.0  1.00
   14    1    40  49.2     3.3   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.6  1.00
   16    1    40  50.0    35.8   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.2  1.00
   17    1    40  33.4    19.6   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.6  1.00
    2    2    40  52.1    10.3   0.000   0.01   0.03  111.4    0.00    0.00    0.0     1.2  1.00
    3    2    40  25.6     1.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   27   11    40  34.0     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   28   11    40  35.0     6.0   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.1  1.00
   25   12    40  48.7     2.5   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.4  1.00
   12    3    41  61.8     9.7   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.6  1.00
    7    4    41  14.4     2.0   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.3  1.00
   28   12    41  33.3     0.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   14   12    42  50.8    12.4   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.1  1.00
   23   12    42  68.9    23.3   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.2  1.00
   25   12    42  20.2     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   29   12    42 105.0    63.8   0.000   0.08   0.13  111.4    0.00    0.00    0.0     8.8  1.00
   30   12    42  76.2    62.7   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.4  1.00
   31   12    43  42.6     0.4   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00
    4    1    44  71.4    23.6   0.000   0.04   0.07  111.4    0.00    0.00    0.0     3.6  1.00
    5    1    44  39.1    12.9   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.2  1.00
    9    1    44 120.1    78.4   0.000   0.10   0.16  111.4    0.00    0.00    0.0    11.0  1.00
   14    1    44  56.6     8.9   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.4  1.00
   15    1    44  23.5     9.6   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.5  1.00
   26    2    44 135.3    70.6   0.000   0.09   0.14  111.4    0.00    0.00    0.0     9.9  1.00
   14    3    44  84.5    33.4   0.000   0.05   0.07  111.4    0.00    0.00    0.0     5.0  1.00
   21    3    44  36.6     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   20    8    44 145.3    75.0   0.000   0.08   0.12  111.4    0.00    0.00    0.0     8.6  1.00
   20   12    44  29.8     1.8   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.2  1.00
   21   12    44  44.4    13.7   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.3  1.00
    4    2    45 179.7   127.6   0.000   0.16   0.26  111.4    0.00    0.00    0.0    17.9  1.00
    5    2    45  41.2    22.5   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.6  1.00
    6    2    45  36.6    22.8   0.000   0.03   0.07  111.4    0.00    0.00    0.0     2.9  1.00
    7    2    45  14.9     1.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   19    2    45  78.8    38.2   0.000   0.05   0.09  111.4    0.00    0.00    0.0     5.9  1.00
   20    2    45  55.8    30.2   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.7  1.00
