contrast_id,group,scenario,topaz_id,treatment_changed
4,2,thinning_65_90,23,False
4,2,thinning_65_90,31,False
4,2,thinning_65_90,32,False
4,2,thinning_65_90,33,False
4,2,thinning_65_90,43,False
4,2,thinning_65_90,53,True
4,2,thinning_65_90,71,True
4,2,thinning_65_90,72,True
4,2,thinning_65_90,73,True
4,2,thinning_65_90,83,True
4,2,thinning_65_90,113,True
4,2,thinning_65_90,161,True
4,2,thinning_65_90,162,True
4,2,thinning_65_90,163,True
4,2,thinning_65_90,173,True
4,2,thinning_65_90,201,True
4,2,thinning_65_90,202,True
4,2,thinning_65_90,203,True
4,2,thinning_65_90,213,True
4,2,thinning_65_90,241,True
4,2,thinning_65_90,242,True
4,2,thinning_65_90,243,True
4,2,thinning_65_90,253,True
4,2,thinning_65_90,322,True
4,2,thinning_65_90,323,True
4,2,thinning_65_90,333,True
4,2,thinning_65_90,362,True
4,2,thinning_65_90,363,True
4,2,thinning_65_90,371,True
4,2,thinning_65_90,372,True
4,2,thinning_65_90,373,True
4,2,thinning_65_90,381,True
4,2,thinning_65_90,382,True
4,2,thinning_65_90,383,True
4,2,thinning_65_90,393,False
4,2,thinning_65_90,421,True
4,2,thinning_65_90,422,True
4,2,thinning_65_90,423,True
4,2,thinning_65_90,432,True
4,2,thinning_65_90,433,True
4,2,thinning_65_90,441,True
4,2,thinning_65_90,442,True
4,2,thinning_65_90,443,True
4,2,thinning_65_90,453,False
4,2,thinning_65_90,481,True
4,2,thinning_65_90,482,True
4,2,thinning_65_90,483,True
4,2,thinning_65_90,491,True
4,2,thinning_65_90,492,True
4,2,thinning_65_90,493,True
4,2,thinning_65_90,503,True
4,2,thinning_65_90,542,True
4,2,thinning_65_90,543,False
4,2,thinning_65_90,553,True
4,2,thinning_65_90,561,True
4,2,thinning_65_90,562,False
4,2,thinning_65_90,571,True
4,2,thinning_65_90,572,True
4,2,thinning_65_90,573,True
4,2,thinning_65_90,583,False
4,2,thinning_65_90,602,True
4,2,thinning_65_90,603,True
4,2,thinning_65_90,613,True
4,2,thinning_65_90,641,True
4,2,thinning_65_90,642,True
4,2,thinning_65_90,643,True
4,2,thinning_65_90,652,True
4,2,thinning_65_90,653,True
4,2,thinning_65_90,663,True
4,2,thinning_65_90,682,True
4,2,thinning_65_90,683,True
4,2,thinning_65_90,691,True
4,2,thinning_65_90,692,True
4,2,thinning_65_90,693,True
4,2,thinning_65_90,703,False
4,2,thinning_65_90,721,True
4,2,thinning_65_90,722,False
4,2,thinning_65_90,723,True
4,2,thinning_65_90,732,True
4,2,thinning_65_90,743,True
4,2,thinning_65_90,782,True
4,2,thinning_65_90,783,True
4,2,thinning_65_90,791,True
4,2,thinning_65_90,792,True
4,2,thinning_65_90,793,True
4,2,thinning_65_90,802,True
4,2,thinning_65_90,803,True
4,2,thinning_65_90,813,False
4,2,thinning_65_90,822,True
4,2,thinning_65_90,823,False
4,2,thinning_65_90,831,True
4,2,thinning_65_90,832,True
4,2,thinning_65_90,833,True
4,2,thinning_65_90,841,True
4,2,thinning_65_90,842,True
4,2,thinning_65_90,852,True
