year,julian,month,day_of_month,Suct_mean_mm,Saturation_mean,TSW_mean_mm
1986,24,1,24,0.7800000000000021,0.8889898989898982,37.699898989898976
1986,25,1,25,0.8245454545454568,0.8677777777777792,36.80969696969695
1986,26,1,26,0.9121212121212144,0.8692929292929304,36.83151515151517
1986,27,1,27,0.9858585858585881,0.8714141414141408,36.82141414141417
1986,35,2,4,0.34747474747474766,0.8646464646464653,36.59313131313132
1986,41,2,10,0.34,0.9496969696969714,40.0168686868687
1986,42,2,11,0.34,0.952121212121213,40.420303030302975
1986,43,2,12,0.34,0.9699999999999992,40.96323232323229
1986,44,2,13,0.34,0.9511111111111121,40.3708080808081
1986,45,2,14,0.34,0.934343434343435,39.56060606060607
1986,46,2,15,0.34,0.9519191919191924,40.40878787878785
1986,47,2,16,0.34,0.9511111111111121,40.36434343434339
1986,48,2,17,0.34,0.9599999999999985,40.518989898989986
1986,50,2,19,0.34,0.914646464646463,38.80656565656566
1986,51,2,20,0.34,0.8881818181818188,37.561010101010076
1986,52,2,21,0.34,0.837979797979797,35.52373737373736
1986,54,2,23,0.34,0.9118181818181798,38.714444444444496
1986,57,2,26,0.34,0.921616161616163,38.85212121212121
1986,59,2,28,0.34,0.9230303030303049,39.19303030303025
1986,60,3,1,0.34,0.9314141414141434,39.390606060606096
1986,61,3,2,0.34,0.931212121212123,39.27212121212117
1986,62,3,3,0.34,0.9227272727272744,39.16393939393942
1986,70,3,11,0.33545454545454545,0.731515151515152,30.9329292929293
1986,73,3,14,0.6701010101010105,0.727474747474747,30.776060606060618
1986,75,3,16,1.4875757575757584,0.7572727272727265,32.107676767676764
1986,232,8,20,8.408686868686866,0.3478787878787875,14.653333333333316
1986,287,10,14,7.690101010101012,0.4026262626262624,16.959393939393916
1986,294,10,21,7.461313131313137,0.427070707070707,17.945656565656552
1986,304,10,31,7.328181818181821,0.44232323232323234,18.599090909090894
1986,313,11,9,7.301414141414143,0.4409090909090911,18.619797979797962
1986,319,11,15,7.187474747474746,0.4363636363636362,18.45707070707072
1986,328,11,24,6.200202020202019,0.5388888888888889,22.717272727272725
1986,329,11,25,5.488484848484847,0.5591919191919192,23.634141414141435
1986,334,11,30,5.532929292929288,0.532121212121212,22.48141414141413
