ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
SimFire4.2fA2p.2b.obs_cli_Watershed_10,SimFire4.2fA2p.2b.obs,Watershed_10,1309.41,15380623.0,1174.6223871820132,8161276.0,623.2788813282318,10008.9,7643.82431782253,1319.9,1008.011241704279,2021.6,1543.9014517989017,0.178,1688.3,1.2893593297744785,0.6454,1304.74064,996.4339969910111
SimFire4.2fA2p.2b.obs_cli_Watershed_11_General,SimFire4.2fA2p.2b.obs,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,12587887.0,691.7561685992197,8989.3,4939.990108259603,1277.6,702.093751717316,569.4,312.9087212177831,0.055,522.6,0.2871901961861845,0.5261,299.56134,164.6212782326757
SimFire4.2fA2p.2b.obs_cli_Watershed_12_Meeks,SimFire4.2fA2p.2b.obs,Watershed_12_Meeks,1981.45,23568024.0,1189.4331928638119,12402006.0,625.9055742007116,20931.6,10563.779050695197,2489.9,1256.6050114814907,1106.5,558.4294329909915,0.047,7880.7,3.9772388907113476,0.3667,405.75355,204.77607307779658
SimFire4.2fA2p.2b.obs_cli_Watershed_13,SimFire4.2fA2p.2b.obs,Watershed_13,211.44,2173747.0,1028.0680098373061,1231107.0,582.2488649262202,584.3,2763.431706394249,3.3,15.607264472190693,259.3,1226.35262958759,0.441,214.5,1.014472190692395,0.3075,79.73475,377.10343359818387
SimFire4.2fA2p.2b.obs_cli_Watershed_14,SimFire4.2fA2p.2b.obs,Watershed_14,246.15,2690698.0,1093.1131423928498,1541537.0,626.259191549868,787.8,3200.4875076173066,5.7,23.15661182205972,713.0,2896.607759496242,0.899,579.4,2.3538492788949825,0.0744,53.0472,215.5076173065204
SimFire4.2fA2p.2b.obs_cli_Watershed_15,SimFire4.2fA2p.2b.obs,Watershed_15,149.32,1489562.0,997.5636217519422,832006.0,557.1966246986339,734.4,4918.296276453255,2.7,18.081971604607556,563.1,3771.095633538709,0.764,455.6,3.0511652826145195,0.0529,29.787990000000004,199.49095901419773
SimFire4.2fA2p.2b.obs_cli_Watershed_16,SimFire4.2fA2p.2b.obs,Watershed_16,295.18,2955582.0,1001.2812521173521,1603639.0,543.2749508774307,1077.6,3650.6538383359307,8.5,28.79598888813605,656.5,2224.0666711836843,0.604,534.7,1.811437089233688,0.0687,45.101549999999996,152.79338031031912
SimFire4.2fA2p.2b.obs_cli_Watershed_17,SimFire4.2fA2p.2b.obs,Watershed_17,386.9,3754816.0,970.487464461101,1988601.0,513.9831997932282,3198.7,8267.510984750583,117.5,303.69604548979066,907.8,2346.342724218144,0.274,738.0,1.907469630395451,0.1589,144.24942000000001,372.8338588782632
SimFire4.2fA2p.2b.obs_cli_Watershed_18,SimFire4.2fA2p.2b.obs,Watershed_18,1647.08,20362331.0,1236.2684872623067,10457672.0,634.9219224324258,20168.7,12245.124705539502,564.6,342.7884498627875,1845.9,1120.7105908638318,0.089,1829755.4,1110.9086383175074,0.32720000000000005,603.9784800000001,366.69650533064583
SimFire4.2fA2p.2b.obs_cli_Watershed_19,SimFire4.2fA2p.2b.obs,Watershed_19,845.73,10312303.0,1219.3374954181595,5875909.0,694.7736275170563,16557.3,19577.524741938916,58.5,69.1710120251144,1536.4,1816.6554337672778,0.092,1276.2,1.508992231563265,0.2127,326.79228,386.40261076230007
