ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
SimFire4.2fA2p.2b.obs_cli_Watershed_9_Blackwood,SimFire4.2fA2p.2b.obs,Watershed_9_Blackwood,0.03,0.711,0.254,0.003,0.002,0.084,0.912,0.004,0.036,0.022156336475916534,0.15077435264265493,0.139018394602846,0.2760175399706283,0.41203337630795417,0.07881495419420925,0.28916569014124577,0.6320193556645449,0.033609460541190725,400803.1,137336.84511931593,40.56,1.27
SimFire4.2fA2p.2b.obs_cli_Watershed_10,SimFire4.2fA2p.2b.obs,Watershed_10,0.055,0.513,0.258,0.079,0.096,0.117,0.724,0.159,0.05,0.01301228390108337,0.13399909509094282,0.08735696464786412,0.19407028291209444,0.5715613734480153,0.05065756145008005,0.22310704962096542,0.7262353889289546,0.021595348494180502,2021.6,8520.485645496326,54.17,1.69
SimFire4.2fA2p.2b.obs_cli_Watershed_11_General,SimFire4.2fA2p.2b.obs,Watershed_11_General,0.09,0.314,0.407,0.106,0.083,0.187,0.646,0.167,0.08,0.01284456307310399,0.09703560659764987,0.08048806014709989,0.17031128051131544,0.639320489670831,0.046688360534762295,0.1782530592268885,0.7750585802383494,0.01990731675307585,569.4,5504.4415709193,83.15,2.6
SimFire4.2fA2p.2b.obs_cli_Watershed_12_Meeks,SimFire4.2fA2p.2b.obs,Watershed_12_Meeks,0.126,0.157,0.279,0.212,0.226,0.206,0.399,0.395,0.088,0.01521628428719086,0.05563470501186825,0.08591657862464293,0.21722481199885818,0.6260076200774396,0.05484993876487748,0.14601426599459277,0.7991357952405296,0.023383720139374786,1106.5,11374.426361979511,90.24,2.82
SimFire4.2fA2p.2b.obs_cli_Watershed_13,SimFire4.2fA2p.2b.obs,Watershed_13,0.025,0.233,0.165,0.205,0.372,0.08,0.385,0.535,0.034,0.013318019516840326,0.13127309192929346,0.09268315795030661,0.20775291593544953,0.55497281466811,0.05344170452196453,0.22600640680937212,0.7205518886686633,0.022780537057540975,259.3,466.7497712322705,36.68,1.15
SimFire4.2fA2p.2b.obs_cli_Watershed_14,SimFire4.2fA2p.2b.obs,Watershed_14,0.01,0.044,0.068,0.182,0.695,0.042,0.117,0.841,0.018,0.009644926208634863,0.04450758263456704,0.0667727166090036,0.178880915846702,0.7001938587010924,0.04144318008195812,0.1157948712871279,0.8427619486309139,0.017660216303876163,713.0,668.420133518278,19.32,0.6
SimFire4.2fA2p.2b.obs_cli_Watershed_15,SimFire4.2fA2p.2b.obs,Watershed_15,0.011,0.02,0.073,0.193,0.704,0.045,0.098,0.857,0.019,0.008574081884672999,0.015495827747801281,0.059044626600583856,0.16327558088477012,0.7536098828821717,0.03719678060498843,0.07906269854767804,0.8837405208473335,0.015849871919737607,563.1,688.9823064242432,20.48,0.64
SimFire4.2fA2p.2b.obs_cli_Watershed_16,SimFire4.2fA2p.2b.obs,Watershed_16,0.019,0.014,0.119,0.262,0.587,0.07,0.135,0.795,0.03,0.011725008080194051,0.007843941036679295,0.07578605254916458,0.2120086773869292,0.6926363209470329,0.048704724229373775,0.08968803894621079,0.8616072368244154,0.020755137646079086,656.5,1003.2126723378983,31.3,0.98
SimFire4.2fA2p.2b.obs_cli_Watershed_17,SimFire4.2fA2p.2b.obs,Watershed_17,0.057,0.038,0.213,0.232,0.46,0.125,0.231,0.644,0.054,0.013389368541400284,0.013410942744769215,0.0858263626278168,0.1995174259154167,0.687855900170597,0.051250956221495884,0.10187775515332001,0.8468712886251841,0.02184814362921174,907.8,2583.5334830506486,55.63,1.74
SimFire4.2fA2p.2b.obs_cli_Watershed_18,SimFire4.2fA2p.2b.obs,Watershed_18,0.055,0.202,0.234,0.196,0.313,0.124,0.407,0.469,0.053,0.01726260938082806,0.05123536423031234,0.08956610503539107,0.24622647193979497,0.5957094494136737,0.06053747826533528,0.14751057418497457,0.7919519475496902,0.025808120699031822,1845.9,13292.65398969887,55.8,1.74
SimFire4.2fA2p.2b.obs_cli_Watershed_19,SimFire4.2fA2p.2b.obs,Watershed_19,0.057,0.102,0.179,0.214,0.448,0.116,0.265,0.619,0.05,0.01285249171615518,0.0570363474567897,0.0803635413969453,0.19119097504033342,0.6585566443897763,0.048737105479903654,0.14032704302317422,0.810935851496922,0.020776458623649654,1536.4,10206.220320156734,51.76,1.62
SimFire4.2fA2p.2b.obs_cli_Watershed_20,SimFire4.2fA2p.2b.obs,Watershed_20,0.092,0.233,0.259,0.184,0.232,0.165,0.457,0.378,0.071,0.017030653833027928,0.12406490786101501,0.11247065343052835,0.24578020009884763,0.500653584776581,0.06509420151665532,0.23836539422798203,0.6965404042553625,0.027751277707268134,1252.2,5434.694401487756,73.48,2.3
SimFire4.2fA2p.2b.fut_cli_Watershed_1,SimFire4.2fA2p.2b.fut,Watershed_1,0.045,0.346,0.24,0.185,0.184,0.114,0.555,0.331,0.049,0.021883884269248147,0.2001787192306262,0.14450299738683223,0.2393093113120169,0.3941250878012759,0.07606563853775943,0.33907975254528655,0.5848546089169534,0.03244444719142706,90.1,152.96809041789777,52.06,1.63
SimFire4.2fA2p.2b.fut_cli_Watershed_2,SimFire4.2fA2p.2b.fut,Watershed_2,0.028,0.122,0.171,0.336,0.343,0.097,0.292,0.611,0.042,0.0272273501420763,0.11346864291736623,0.16734522193304657,0.3282826733626488,0.36367611164486197,0.09503717663285136,0.2796454210522555,0.6253174023148931,0.04052947546615618,19.2,17.7234413749116,43.76,1.37
SimFire4.2fA2p.2b.fut_cli_Watershed_3,SimFire4.2fA2p.2b.fut,Watershed_3,0.032,0.372,0.209,0.171,0.216,0.093,0.555,0.353,0.04,0.018627042809289708,0.2335950311288321,0.12658931905897436,0.2248658713839809,0.3963227356189229,0.06759911039774741,0.35686005449029684,0.5755408351119556,0.028828406678620175,49.0,77.07222898701018,43.03,1.35
SimFire4.2fA2p.2b.fut_cli_Watershed_4,SimFire4.2fA2p.2b.fut,Watershed_4,0.053,0.468,0.253,0.111,0.114,0.117,0.68,0.203,0.05,0.020900140912624206,0.20143229621517517,0.1389523453786673,0.2558713067199662,0.38284391077356694,0.07555034515279967,0.33767631261782016,0.58677334222938,0.03221846641783442,1225.2,1846.4653904883367,53.91,1.69
SimFire4.2fA2p.2b.fut_cli_Watershed_5,SimFire4.2fA2p.2b.fut,Watershed_5,0.058,0.186,0.356,0.213,0.186,0.154,0.49,0.356,0.066,0.02788763696684728,0.0895143361782546,0.18257268722080633,0.33962600796773335,0.360399331666359,0.10003344875924303,0.2688852912241151,0.6310812600166424,0.042659630443294856,136.0,274.4221027119356,68.81,2.15
SimFire4.2fA2p.2b.fut_cli_Watershed_6,SimFire4.2fA2p.2b.fut,Watershed_6,0.053,0.208,0.346,0.176,0.217,0.144,0.499,0.357,0.062,0.02358750169115142,0.09162861705340561,0.1616499668626036,0.3134377625721445,0.4096961518206949,0.08872598319380309,0.2517679682155029,0.6595060485906941,0.037831921271168356,55.4,119.67319812834826,64.51,2.02
SimFire4.2fA2p.2b.fut_cli_Watershed_7_Ward,SimFire4.2fA2p.2b.fut,Watershed_7_Ward,0.115,0.295,0.311,0.15,0.13,0.196,0.556,0.249,0.084,0.02047494520745567,0.18744386366213514,0.13457270873989421,0.246216551264285,0.41129193112622986,0.07324522532673756,0.3192282521893973,0.6075265224838651,0.031236390433688935,9541.4,87300.84667595608,86.62,2.71
SimFire4.2fA2p.2b.fut_cli_Watershed_8,SimFire4.2fA2p.2b.fut,Watershed_8,0.024,0.341,0.166,0.177,0.291,0.077,0.491,0.433,0.033,0.014922852610262272,0.21102409130465985,0.10279348803594372,0.20741228753979174,0.46384728050934226,0.05714609505228578,0.3136990312691578,0.6291548736785563,0.024364633769708703,138.4,218.49370868255244,35.83,1.12
SimFire4.2fA2p.2b.fut_cli_Watershed_9_Blackwood,SimFire4.2fA2p.2b.fut,Watershed_9_Blackwood,0.153,0.287,0.392,0.109,0.059,0.247,0.608,0.146,0.106,0.022379502799670055,0.1527075998745914,0.1398605535655914,0.2764452615130126,0.40860708224713455,0.0792581604917981,0.29180788383519635,0.6289339556730056,0.03379895750550821,18668.6,302302.64443291153,107.86,3.37
SimFire4.2fA2p.2b.fut_cli_Watershed_10,SimFire4.2fA2p.2b.fut,Watershed_10,0.126,0.265,0.322,0.136,0.151,0.207,0.533,0.26,0.089,0.013282577170172599,0.12533720269991894,0.08829244118901433,0.1963783560366949,0.5767094229041992,0.05135373950868742,0.2154232878258675,0.7332229726654451,0.02189243626655652,2337.7,20252.28698628187,91.32,2.86
