"model","assessment_id","attempt_id","view","selected_window_minutes","min_probability","year_filter","sort","descending","offset","limit","intensity_unit","rainfall_unit","event_id","date_label","date_semantics","return_interval_years","duration_minutes","peak_intensity","window_rainfall","total_event_rainfall","probability","target_probability","reason"
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:666","Simulation 2 / 10 / 29","simulation_labels",,30,0.07919483670372726,0.03959741835186363,0.16535442,0.03759569522108401,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:674","Simulation 2 / 11 / 6","simulation_labels",,30,0.08996116216216248,0.04498058108108124,0.36614193,0.03944550669081323,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:675","Simulation 2 / 11 / 7","simulation_labels",,30,0.0680749601139138,0.0340374800569569,0.14173236,0.03577276877287741,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:680","Simulation 2 / 11 / 12","simulation_labels",,30,0.6319121283458331,0.31595606417291655,0.98818951,0.33670770874024486,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:681","Simulation 2 / 11 / 13","simulation_labels",,30,1.4639527522219355,0.7319763761109678,1.2913392799999999,0.9601731411261414,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:682","Simulation 2 / 11 / 14","simulation_labels",,30,0.0431556865384617,0.02157784326923085,0.22440957,0.03199174894772989,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:686","Simulation 2 / 11 / 18","simulation_labels",,30,0.080550927238697,0.0402754636193485,0.09842524999999999,0.037824021311649456,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:687","Simulation 2 / 11 / 19","simulation_labels",,30,0.01891557849512164,0.00945778924756082,0.05118113,0.028686186679482403,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:688","Simulation 2 / 11 / 20","simulation_labels",,30,0.01000164203233258,0.00500082101616629,0.04330711,0.02755596407080558,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:701","Simulation 2 / 12 / 3","simulation_labels",,30,0.08701050547045988,0.04350525273522994,0.39763801,0.038930030136056476,,
