Latitude: 39.637893121733924  Longitude: -107.21442401398961
X & Y on Lambert Conformal Conic: -590975.44 -277756.44
Tile: 11557
Elevation: 2904 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,272,41840.00,13.22,217.57,0.00,10.56,1.94,702.67
2021,273,41680.69,0.00,332.73,0.00,11.72,1.59,685.25
2021,274,41521.64,4.41,234.17,0.00,12.10,2.53,732.69
2021,275,41362.87,0.00,345.99,0.00,13.17,2.21,716.02
2021,276,41204.40,0.00,374.63,0.00,15.01,2.49,730.72
2021,277,41046.28,0.00,388.38,0.00,16.89,3.37,777.52
2021,278,40888.52,0.00,390.62,0.00,18.47,4.53,843.81
2021,279,40731.16,0.00,262.26,0.00,12.02,4.00,813.16
2021,280,40574.22,0.00,351.90,0.00,14.20,2.62,737.24
2021,281,40417.75,7.13,178.37,0.00,10.82,3.70,795.81
2021,282,40261.76,10.32,218.04,0.00,7.66,-1.09,563.76
2021,283,40106.29,0.00,286.16,0.00,6.67,-1.76,536.64
2021,284,39951.38,0.00,395.29,0.00,11.52,-2.11,523.21
2021,285,39797.05,10.30,221.80,0.00,4.29,-4.55,436.01
2021,286,39643.34,0.00,182.52,0.00,-0.20,-5.22,414.15
2021,287,39490.29,6.10,195.81,6.10,-0.82,-7.36,351.48
2021,288,39337.92,0.00,399.20,6.10,1.63,-9.45,298.58
2021,289,39186.28,0.00,467.78,5.64,11.09,-4.91,424.25
2021,290,39035.40,0.00,423.60,3.04,13.66,0.19,619.09
2021,291,38885.32,6.55,255.41,0.00,13.11,1.73,692.16
2021,292,38736.07,0.00,283.44,0.00,3.53,-4.88,425.03
2021,293,38587.71,0.00,355.81,0.00,6.62,-5.21,414.68
2021,294,38440.25,0.00,358.89,0.00,10.71,-1.61,542.98
2021,295,38293.75,0.00,353.10,0.00,12.52,0.34,625.94
2021,296,38148.25,4.61,219.02,0.00,8.96,-0.20,601.72
2021,297,38003.78,0.00,308.35,0.00,8.76,-0.97,568.97
2021,298,37860.40,0.00,348.05,0.00,15.92,3.55,787.35
2021,299,37718.14,15.37,278.34,0.00,8.61,-5.30,411.77
2021,300,37577.06,0.00,183.69,0.00,-0.37,-5.53,404.55
2021,301,37437.18,0.00,245.78,0.00,4.72,-2.51,507.89
2021,302,37298.57,0.00,369.87,0.00,11.43,-2.78,497.62
2021,303,37161.27,0.00,313.83,0.00,10.37,-0.23,600.46
2021,304,37025.32,4.00,207.36,0.00,10.03,0.93,653.44
2021,305,36890.78,2.98,182.86,0.00,8.44,0.73,643.80
2021,306,36757.69,10.55,107.88,0.00,3.25,-0.93,570.67
2021,307,36626.11,0.00,276.10,0.00,6.65,-2.05,525.46
2021,308,36496.08,0.00,326.45,0.00,8.88,-2.54,506.83
2021,309,36367.66,0.00,300.45,0.00,10.17,-0.05,608.43
2021,310,36240.89,0.00,327.49,0.00,12.28,0.06,613.59
2021,311,36115.84,0.00,294.78,0.00,12.28,1.83,697.14
2021,312,35992.55,0.00,212.74,0.00,8.79,2.02,706.37
2021,313,35871.08,15.27,220.29,0.00,9.05,-1.62,542.37
2021,314,35751.47,7.78,144.24,0.00,1.08,-4.87,425.44
2021,315,35633.80,0.00,246.68,0.00,0.34,-7.56,346.13
2021,316,35518.11,0.00,199.78,0.00,4.47,-1.86,532.79
2021,317,35404.45,0.00,234.47,0.00,7.13,-0.68,581.27
2021,318,35292.89,0.00,258.64,0.00,7.53,-1.39,551.70
2021,319,35183.47,0.00,269.21,0.00,10.62,1.08,660.30
2021,320,35076.26,0.00,219.14,0.00,7.11,0.01,611.32
2021,321,34971.30,0.00,279.67,0.00,0.82,-8.85,312.91
2021,322,34868.66,0.00,334.04,0.00,6.03,-8.87,312.51
2021,323,34768.39,0.00,207.57,0.00,4.89,-1.88,532.13
2021,324,34670.54,0.00,222.49,0.00,1.54,-5.67,400.17
2021,325,34575.18,0.00,297.10,0.00,2.19,-8.99,309.68
2021,326,34482.35,0.00,318.08,0.00,8.60,-5.42,408.08
2021,327,34392.10,3.52,207.36,0.00,6.14,-4.56,435.50
2021,328,34304.50,0.00,272.32,0.00,-1.61,-11.51,253.56
2021,329,34219.60,0.00,321.45,0.00,1.12,-13.43,217.06
2021,330,34137.44,0.00,309.24,0.00,6.91,-7.14,357.48
2021,331,34058.08,0.00,259.78,0.00,5.25,-4.79,428.14
2021,332,33981.56,0.00,281.34,0.00,7.70,-4.00,454.29
2021,333,33907.95,0.00,283.81,0.00,9.88,-2.38,512.63
2021,334,33837.28,0.00,267.06,0.00,7.03,-3.91,457.37
2021,335,33769.59,0.00,256.34,0.00,8.63,-1.85,533.32
2021,336,33704.95,0.00,275.92,0.00,10.31,-2.12,522.88
2021,337,33643.39,0.00,258.96,0.00,9.69,-1.52,546.26
2021,338,33584.94,0.00,234.29,0.00,7.23,-2.30,515.74
2021,339,33529.66,0.00,219.36,0.00,4.36,-4.26,445.45
2021,340,33477.58,1.45,210.45,1.45,0.96,-6.08,387.97
2021,341,33428.74,0.00,161.03,1.23,-0.30,-5.46,406.63
2021,342,33383.17,9.19,158.57,10.42,-0.26,-7.33,352.34
2021,343,33340.91,26.69,73.31,9.58,-1.03,-4.00,454.15
2021,344,33301.98,0.00,307.90,9.58,-4.15,-16.06,174.59
2021,345,33266.41,0.00,315.44,9.58,-5.39,-18.18,146.01
2021,346,33234.24,0.00,312.27,9.58,2.24,-10.92,265.64
2021,347,33205.47,0.00,296.34,9.58,4.90,-7.25,354.44
2021,348,33180.15,12.01,177.21,8.53,5.31,-3.50,471.55
2021,349,33158.28,11.23,224.85,19.76,1.67,-11.00,264.01
2021,350,33139.87,4.40,202.27,24.16,-2.28,-12.71,230.17
2021,351,33124.96,0.00,239.58,24.16,-5.93,-14.49,199.00
2021,352,33113.53,0.00,314.78,24.16,-4.02,-17.32,157.10
2021,353,33105.62,0.00,297.47,24.16,0.32,-11.87,246.17
2021,354,33101.21,0.00,312.10,24.16,3.45,-10.40,276.95
