,Year,State,Fire Name,Fire_ID,Fire_SegID,Site Name,ObservationDate_mmddyyyy,ObservationLatitude_DD,ObservationLongitude_DD,DebrisFlowResponse,SourceOfObservation,StormDate_mmddyyyy,GaugeName,GaugeLatitude_DD,GaugeLongitude_DD,GaugeDist_km,StormAccum_mm,StormDuration_hr,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_in in 15min,Peak_I30_in in 30min,Peak_I60_in in 60min
129,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,6292021,39.613418,-107.142133,0,,6292021,USGS_gc_3,39.650605,-107.168258,4.71,10.163,74.273,5.143,3.657,2.467,0.050620079,0.071988189,0.097125984
130,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1602,128.8,6292021,39.615658,-107.137498,0,,6292021,USGS_gc_3,39.650605,-107.168258,4.69,10.163,74.273,5.143,3.657,2.467,0.050620079,0.071988189,0.097125984
131,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129,6292021,39.616874,-107.131676,0,,6292021,USGS_gc_3,39.650605,-107.168258,4.89,10.163,74.273,5.143,3.657,2.467,0.050620079,0.071988189,0.097125984
132,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,6292021,39.618159,-107.129525,0,,6292021,USGS_gc_3,39.650605,-107.168258,4.94,10.163,74.273,5.143,3.657,2.467,0.050620079,0.071988189,0.097125984
133,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127,7032021,39.60235705,-107.1631228,1,CDOT,7032021,Bair Ranch,39.6143,-107.141,2.53,23.1,,68.072,39.6,22.6,0.67,0.779527559,0.88976378
134,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7499,119.9,7052021,39.566897,-107.272522,0,,7052021,,,,,,,,,,,,
135,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7482,120,7052021,39.56660135,-107.2701978,0,,7052021,,,,,,,,,,,,
136,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7688,120.23,7052021,39.564371,-107.267852,0,,7052021,,,,,,,,,,,,
137,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,7052021,39.559567,-107.239327,0,,7052021,,,,,,,,,,,,
138,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,7052021,39.567466,-107.229297,0,,7052021,,,,,,,,,,,,
139,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,7052021,39.576728,-107.221868,0,,7052021,,,,,,,,,,,,
140,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,7052021,39.575775,-107.210453,0,,7052021,,,,,,,,,,,,
141,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,7052021,39.580585,-107.203615,0,,7052021,,,,,,,,,,,,
142,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,7052021,39.577953,-107.204888,0,,7052021,,,,,,,,,,,,
143,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,7052021,39.587694,-107.194739,0,,7052021,,,,,,,,,,,,
144,2020,CO,Grizzly Creek Fire,grz2020,no segment available,125.57,7052021,39.590132,-107.187256,0,,7052021,USGS_gc_2,39.577192,-107.14883,3.6,4.84,80.818,15.813,8.169,4.238,0.155639764,0.160807087,0.166850394
145,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126,7052021,39.593441,-107.177952,0,,7052021,,,,,,,,,,,,
147,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,7052021,39.599788,-107.171554,0,,7052021,,,,,,,,,,,,
148,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,7052021,39.567466,-107.229297,0,,7052021,,,,,,,,,,,,
149,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127,7052021,39.60235705,-107.1631228,0,,7052021,USGS_gc_3,39.650605,-107.168258,5.448,13.076,82.467,28,19.92,12.085,0.275590551,0.392125984,0.475787402
150,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,7052021,39.603097,-107.159339,0,,7052021,,,,,,,,,,,,
151,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,7052021,39.6085,-107.1543,0,,7052021,,,,,,,,,,,,
152,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,7052021,39.608744,-107.153603,0,,7052021,,,,,,,,,,,,
153,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,7052021,39.609181,-107.152192,0,,7052021,,,,,,,,,,,,
154,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128,7052021,39.610049,-107.148402,0,,7052021,,,,,,,,,,,,
155,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,7052021,39.610562,-107.146508,0,,7052021,,,,,,,,,,,,
156,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,7052021,39.613418,-107.142133,0,,7052021,USGS_gc_3,39.650605,-107.168258,4.71,13.076,82.467,28,19.92,12.085,0.275590551,0.392125984,0.475787402
